billing_item_id,billing_id,charge_category,charge_type,description,amount,created_at,updated_at,deleted_at
73,26,recurring,rent,Monthly Rent,12422.00,,,
74,26,recurring,electricity_share,Electricity Share,1412.11,,,
75,26,recurring,water_share,Water Share,321.00,,,
76,27,recurring,rent,Monthly Rent,12422.00,,,
77,27,recurring,electricity_share,Electricity Share,1695.33,,,
78,27,recurring,water_share,Water Share,471.45,,,
79,28,recurring,rent,Monthly Rent,12422.00,,,
80,28,recurring,electricity_share,Electricity Share,1537.60,,,
81,29,recurring,rent,Monthly Rent,12422.00,,,
82,29,recurring,electricity_share,Electricity Share,1207.75,,,
83,29,recurring,water_share,Water Share,304.44,,,
84,30,recurring,rent,Monthly Rent,12422.00,,,
85,30,recurring,electricity_share,Electricity Share,611.59,,,
86,31,move_out,electricity_share,Final Electricity Share,611.59,,,
87,31,move_out,deposit_refund,Security Deposit Refund,-12422.00,,,
88,32,recurring,rent,Monthly Rent,12004.00,,,
89,32,recurring,electricity_share,Electricity Share,1203.39,,,
90,32,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
91,33,move_out,electricity_share,Final Electricity Share,1203.39,,,
92,33,move_out,deposit_refund,Security Deposit Refund,-12004.00,,,
93,34,recurring,rent,Monthly Rent,12004.00,,,
94,34,recurring,electricity_share,Electricity Share,1018.30,,,
95,34,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
96,35,move_out,electricity_share,Final Electricity Share,1018.30,,,
97,35,move_out,deposit_refund,Security Deposit Refund,-12004.00,,,
98,36,recurring,rent,Monthly Rent,12004.00,,,
99,36,recurring,electricity_share,Electricity Share,1928.64,,,
100,37,recurring,rent,Monthly Rent,12004.00,,,
101,37,recurring,electricity_share,Electricity Share,1865.81,,,
102,37,recurring,water_share,Water Share,468.93,,,
103,38,recurring,rent,Monthly Rent,12004.00,,,
104,38,recurring,electricity_share,Electricity Share,1422.46,,,
105,38,recurring,water_share,Water Share,387.96,,,
106,39,recurring,rent,Monthly Rent,12004.00,,,
107,39,recurring,electricity_share,Electricity Share,1655.42,,,
108,39,recurring,water_share,Water Share,310.25,,,
109,40,recurring,rent,Monthly Rent,12004.00,,,
110,40,recurring,electricity_share,Electricity Share,1315.62,,,
111,40,recurring,water_share,Water Share,494.05,,,
112,41,recurring,rent,Monthly Rent,12004.00,,,
113,41,recurring,electricity_share,Electricity Share,1006.71,,,
114,42,move_out,electricity_share,Final Electricity Share,1006.71,,,
115,42,move_out,deposit_refund,Security Deposit Refund,-12004.00,,,
116,43,move_in,advance,1 Month Advance — First Month Rent,12829.00,,,
117,43,move_in,security_deposit,1 Month Security Deposit,12829.00,,,
118,44,recurring,rent,Monthly Rent,12829.00,,,
119,44,recurring,electricity_share,Electricity Share,1052.15,,,
120,44,recurring,water_share,Water Share,227.40,,,
121,44,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
122,45,move_out,electricity_share,Final Electricity Share,1052.15,,,
123,45,move_out,water_share,Final Water Share,227.40,,,
124,45,move_out,deposit_refund,Security Deposit Refund,-12829.00,,,
125,46,move_in,advance,1 Month Advance — First Month Rent,7087.00,,,
126,46,move_in,security_deposit,1 Month Security Deposit,7087.00,,,
127,47,recurring,rent,Monthly Rent,7087.00,,,
128,47,recurring,electricity_share,Electricity Share,2247.93,,,
129,47,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
130,48,recurring,rent,Monthly Rent,7087.00,,,
131,48,recurring,electricity_share,Electricity Share,2495.60,,,
132,48,recurring,water_share,Water Share,312.90,,,
133,48,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
134,49,recurring,rent,Monthly Rent,7087.00,,,
135,49,recurring,electricity_share,Electricity Share,952.86,,,
136,49,recurring,water_share,Water Share,112.28,,,
137,49,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
138,50,move_out,electricity_share,Final Electricity Share,952.86,,,
139,50,move_out,water_share,Final Water Share,112.28,,,
140,50,move_out,deposit_refund,Security Deposit Refund,-7087.00,,,
141,51,move_in,advance,1 Month Advance — First Month Rent,12296.00,,,
142,51,move_in,security_deposit,1 Month Security Deposit,12296.00,,,
143,52,recurring,rent,Monthly Rent,12296.00,,,
144,52,recurring,electricity_share,Electricity Share,1795.95,,,
145,52,recurring,water_share,Water Share,371.04,,,
146,52,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
147,53,recurring,rent,Monthly Rent,12296.00,,,
148,53,recurring,electricity_share,Electricity Share,2061.05,,,
149,53,recurring,water_share,Water Share,364.42,,,
150,53,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
151,54,recurring,rent,Monthly Rent,12296.00,,,
152,54,recurring,electricity_share,Electricity Share,858.67,,,
230,83,recurring,rent,Monthly Rent,7087.00,,,
153,54,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
154,55,move_out,electricity_share,Final Electricity Share,858.67,,,
155,55,move_out,deposit_refund,Security Deposit Refund,-12296.00,,,
156,56,recurring,rent,Monthly Rent,12829.00,,,
157,56,recurring,electricity_share,Electricity Share,992.29,,,
158,56,recurring,water_share,Water Share,244.30,,,
159,56,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
160,57,move_out,electricity_share,Final Electricity Share,992.29,,,
161,57,move_out,water_share,Final Water Share,244.30,,,
162,57,move_out,deposit_refund,Security Deposit Refund,-12829.00,,,
163,58,recurring,rent,Monthly Rent,12422.00,,,
164,58,recurring,electricity_share,Electricity Share,2323.03,,,
165,58,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
166,59,recurring,rent,Monthly Rent,12422.00,,,
167,59,recurring,electricity_share,Electricity Share,1572.70,,,
168,59,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
169,60,recurring,rent,Monthly Rent,12422.00,,,
170,60,recurring,electricity_share,Electricity Share,1233.98,,,
171,60,recurring,water_share,Water Share,127.89,,,
172,60,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
173,61,move_out,electricity_share,Final Electricity Share,1233.98,,,
174,61,move_out,water_share,Final Water Share,127.89,,,
175,61,move_out,deposit_refund,Security Deposit Refund,-12422.00,,,
176,62,move_in,advance,1 Month Advance — First Month Rent,6923.00,,,
177,62,move_in,security_deposit,1 Month Security Deposit,6923.00,,,
178,63,recurring,rent,Monthly Rent,6923.00,,,
179,63,recurring,electricity_share,Electricity Share,1411.49,,,
180,63,recurring,water_share,Water Share,363.78,,,
181,64,recurring,rent,Monthly Rent,6923.00,,,
182,64,recurring,electricity_share,Electricity Share,1106.42,,,
183,64,recurring,water_share,Water Share,172.79,,,
184,65,recurring,rent,Monthly Rent,6923.00,,,
185,65,recurring,electricity_share,Electricity Share,965.67,,,
186,65,recurring,water_share,Water Share,218.36,,,
187,66,recurring,rent,Monthly Rent,6923.00,,,
188,66,recurring,electricity_share,Electricity Share,1069.35,,,
189,67,recurring,rent,Monthly Rent,6923.00,,,
190,67,recurring,electricity_share,Electricity Share,435.14,,,
191,67,recurring,water_share,Water Share,91.10,,,
192,68,recurring,rent,Monthly Rent,6923.00,,,
193,68,recurring,electricity_share,Electricity Share,863.94,,,
194,68,recurring,water_share,Water Share,147.58,,,
195,69,recurring,rent,Monthly Rent,6923.00,,,
196,69,recurring,electricity_share,Electricity Share,715.43,,,
197,69,recurring,water_share,Water Share,174.98,,,
198,70,recurring,rent,Monthly Rent,6923.00,,,
199,70,recurring,electricity_share,Electricity Share,685.99,,,
200,71,recurring,rent,Monthly Rent,6923.00,,,
201,71,recurring,electricity_share,Electricity Share,1029.21,,,
202,72,recurring,rent,Monthly Rent,6923.00,,,
203,72,recurring,electricity_share,Electricity Share,1168.71,,,
204,73,recurring,rent,Monthly Rent,6923.00,,,
205,73,recurring,electricity_share,Electricity Share,728.89,,,
206,73,recurring,water_share,Water Share,125.26,,,
207,74,recurring,rent,Monthly Rent,6923.00,,,
208,74,recurring,electricity_share,Electricity Share,704.36,,,
209,75,move_out,electricity_share,Final Electricity Share,704.36,,,
210,75,move_out,deposit_refund,Security Deposit Refund,-6923.00,,,
211,76,recurring,rent,Monthly Rent,12829.00,,,
212,76,recurring,electricity_share,Electricity Share,921.15,,,
213,76,recurring,water_share,Water Share,194.12,,,
214,76,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
215,77,move_out,electricity_share,Final Electricity Share,921.15,,,
216,77,move_out,water_share,Final Water Share,194.12,,,
217,77,move_out,deposit_refund,Security Deposit Refund,-12829.00,,,
218,78,recurring,rent,Monthly Rent,7087.00,,,
219,78,recurring,electricity_share,Electricity Share,2056.01,,,
220,78,recurring,water_share,Water Share,304.12,,,
221,79,recurring,rent,Monthly Rent,7087.00,,,
222,79,recurring,electricity_share,Electricity Share,1361.06,,,
223,79,recurring,water_share,Water Share,339.17,,,
224,80,recurring,rent,Monthly Rent,7087.00,,,
225,80,recurring,electricity_share,Electricity Share,2430.11,,,
226,81,recurring,rent,Monthly Rent,7087.00,,,
227,81,recurring,electricity_share,Electricity Share,1457.05,,,
228,82,recurring,rent,Monthly Rent,7087.00,,,
229,82,recurring,electricity_share,Electricity Share,2109.33,,,
231,83,recurring,electricity_share,Electricity Share,1241.09,,,
232,83,recurring,water_share,Water Share,123.59,,,
233,84,move_out,electricity_share,Final Electricity Share,1241.09,,,
234,84,move_out,water_share,Final Water Share,123.59,,,
235,84,move_out,deposit_refund,Security Deposit Refund,-7087.00,,,
236,85,recurring,rent,Monthly Rent,12829.00,,,
237,85,recurring,electricity_share,Electricity Share,2308.68,,,
238,85,recurring,water_share,Water Share,378.86,,,
239,86,recurring,rent,Monthly Rent,12829.00,,,
240,86,recurring,electricity_share,Electricity Share,1995.56,,,
241,87,recurring,rent,Monthly Rent,12829.00,,,
242,87,recurring,electricity_share,Electricity Share,1527.06,,,
243,88,recurring,rent,Monthly Rent,12829.00,,,
244,88,recurring,electricity_share,Electricity Share,1961.39,,,
245,88,recurring,water_share,Water Share,490.72,,,
246,89,recurring,rent,Monthly Rent,12829.00,,,
247,89,recurring,electricity_share,Electricity Share,2048.98,,,
248,90,recurring,rent,Monthly Rent,12829.00,,,
249,90,recurring,electricity_share,Electricity Share,807.36,,,
250,90,recurring,water_share,Water Share,196.43,,,
251,91,move_out,electricity_share,Final Electricity Share,807.36,,,
252,91,move_out,water_share,Final Water Share,196.43,,,
253,91,move_out,deposit_refund,Security Deposit Refund,-12829.00,,,
254,92,move_in,advance,1 Month Advance — First Month Rent,6923.00,,,
255,92,move_in,security_deposit,1 Month Security Deposit,6923.00,,,
256,93,recurring,rent,Monthly Rent,6923.00,,,
257,93,recurring,electricity_share,Electricity Share,965.67,,,
258,93,recurring,water_share,Water Share,218.36,,,
259,93,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
260,94,recurring,rent,Monthly Rent,6923.00,,,
261,94,recurring,electricity_share,Electricity Share,1069.35,,,
262,94,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
263,95,recurring,rent,Monthly Rent,6923.00,,,
264,95,recurring,electricity_share,Electricity Share,435.14,,,
265,95,recurring,water_share,Water Share,91.10,,,
266,95,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
267,96,move_out,electricity_share,Final Electricity Share,435.14,,,
268,96,move_out,water_share,Final Water Share,91.10,,,
269,96,move_out,deposit_refund,Security Deposit Refund,-6923.00,,,
270,97,recurring,rent,Monthly Rent,12296.00,,,
271,97,recurring,electricity_share,Electricity Share,830.81,,,
272,97,recurring,water_share,Water Share,156.87,,,
273,98,recurring,rent,Monthly Rent,12296.00,,,
274,98,recurring,electricity_share,Electricity Share,942.63,,,
275,99,recurring,rent,Monthly Rent,12296.00,,,
276,99,recurring,electricity_share,Electricity Share,1129.76,,,
277,99,recurring,water_share,Water Share,215.56,,,
278,100,recurring,rent,Monthly Rent,12296.00,,,
279,100,recurring,electricity_share,Electricity Share,620.35,,,
280,100,recurring,water_share,Water Share,121.46,,,
281,101,recurring,rent,Monthly Rent,12296.00,,,
282,101,recurring,electricity_share,Electricity Share,798.48,,,
283,102,recurring,rent,Monthly Rent,12296.00,,,
284,102,recurring,electricity_share,Electricity Share,1202.61,,,
285,102,recurring,water_share,Water Share,220.27,,,
286,103,recurring,rent,Monthly Rent,12296.00,,,
287,103,recurring,electricity_share,Electricity Share,837.41,,,
288,104,recurring,rent,Monthly Rent,12296.00,,,
289,104,recurring,electricity_share,Electricity Share,821.49,,,
290,104,recurring,water_share,Water Share,246.92,,,
291,105,recurring,rent,Monthly Rent,12296.00,,,
292,105,recurring,electricity_share,Electricity Share,1106.35,,,
293,105,recurring,water_share,Water Share,112.26,,,
294,106,recurring,rent,Monthly Rent,12296.00,,,
295,106,recurring,electricity_share,Electricity Share,850.48,,,
296,107,recurring,rent,Monthly Rent,12296.00,,,
297,107,recurring,electricity_share,Electricity Share,1044.11,,,
298,107,recurring,water_share,Water Share,173.28,,,
299,108,recurring,rent,Monthly Rent,12296.00,,,
300,108,recurring,electricity_share,Electricity Share,658.77,,,
301,108,recurring,water_share,Water Share,125.08,,,
302,109,move_out,electricity_share,Final Electricity Share,658.77,,,
303,109,move_out,water_share,Final Water Share,125.08,,,
304,109,move_out,deposit_refund,Security Deposit Refund,-12296.00,,,
305,110,move_in,advance,1 Month Advance — First Month Rent,5695.00,,,
306,110,move_in,security_deposit,1 Month Security Deposit,5695.00,,,
307,111,recurring,rent,Monthly Rent,5695.00,,,
308,111,recurring,electricity_share,Electricity Share,1214.55,,,
309,111,recurring,water_share,Water Share,290.52,,,
310,111,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
311,112,recurring,rent,Monthly Rent,5695.00,,,
312,112,recurring,electricity_share,Electricity Share,2418.12,,,
313,112,recurring,water_share,Water Share,280.45,,,
314,112,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
315,113,recurring,rent,Monthly Rent,5695.00,,,
316,113,recurring,electricity_share,Electricity Share,1235.02,,,
317,113,recurring,water_share,Water Share,190.07,,,
318,113,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
319,114,move_out,electricity_share,Final Electricity Share,1235.02,,,
320,114,move_out,water_share,Final Water Share,190.07,,,
321,114,move_out,deposit_refund,Security Deposit Refund,-5695.00,,,
322,115,move_in,advance,1 Month Advance — First Month Rent,12296.00,,,
323,115,move_in,security_deposit,1 Month Security Deposit,12296.00,,,
324,116,recurring,rent,Monthly Rent,12296.00,,,
325,116,recurring,electricity_share,Electricity Share,942.63,,,
326,116,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
327,117,recurring,rent,Monthly Rent,12296.00,,,
328,117,recurring,electricity_share,Electricity Share,1129.76,,,
329,117,recurring,water_share,Water Share,215.56,,,
330,117,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
331,118,recurring,rent,Monthly Rent,12296.00,,,
332,118,recurring,electricity_share,Electricity Share,620.35,,,
333,118,recurring,water_share,Water Share,121.46,,,
334,118,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
335,119,move_out,electricity_share,Final Electricity Share,620.35,,,
336,119,move_out,water_share,Final Water Share,121.46,,,
337,119,move_out,deposit_refund,Security Deposit Refund,-12296.00,,,
338,120,recurring,rent,Monthly Rent,12004.00,,,
339,120,recurring,electricity_share,Electricity Share,1766.66,,,
340,120,recurring,water_share,Water Share,384.17,,,
341,121,recurring,rent,Monthly Rent,12004.00,,,
342,121,recurring,electricity_share,Electricity Share,1357.73,,,
343,121,recurring,water_share,Water Share,239.80,,,
344,122,recurring,rent,Monthly Rent,12004.00,,,
345,122,recurring,electricity_share,Electricity Share,1322.14,,,
346,122,recurring,water_share,Water Share,480.64,,,
347,123,recurring,rent,Monthly Rent,12004.00,,,
348,123,recurring,electricity_share,Electricity Share,1568.33,,,
349,123,recurring,water_share,Water Share,471.73,,,
350,124,recurring,rent,Monthly Rent,12004.00,,,
351,124,recurring,electricity_share,Electricity Share,2153.92,,,
352,124,recurring,water_share,Water Share,341.67,,,
353,125,recurring,rent,Monthly Rent,12004.00,,,
354,125,recurring,electricity_share,Electricity Share,884.25,,,
355,126,move_out,electricity_share,Final Electricity Share,884.25,,,
356,126,move_out,deposit_refund,Security Deposit Refund,-12004.00,,,
357,127,recurring,rent,Monthly Rent,12422.00,,,
358,127,recurring,electricity_share,Electricity Share,781.86,,,
359,127,recurring,water_share,Water Share,185.00,,,
360,127,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
361,128,move_out,electricity_share,Final Electricity Share,781.86,,,
362,128,move_out,water_share,Final Water Share,185.00,,,
363,128,move_out,deposit_refund,Security Deposit Refund,-12422.00,,,
364,129,move_in,advance,1 Month Advance — First Month Rent,10883.00,,,
365,129,move_in,security_deposit,1 Month Security Deposit,10883.00,,,
366,130,recurring,rent,Monthly Rent,10883.00,,,
367,130,recurring,electricity_share,Electricity Share,1804.84,,,
368,130,recurring,water_share,Water Share,232.34,,,
369,131,recurring,rent,Monthly Rent,10883.00,,,
370,131,recurring,electricity_share,Electricity Share,1839.33,,,
371,131,recurring,water_share,Water Share,309.89,,,
372,132,recurring,rent,Monthly Rent,10883.00,,,
373,132,recurring,electricity_share,Electricity Share,1846.47,,,
374,133,recurring,rent,Monthly Rent,10883.00,,,
375,133,recurring,electricity_share,Electricity Share,1593.80,,,
376,133,recurring,water_share,Water Share,341.55,,,
377,134,recurring,rent,Monthly Rent,10883.00,,,
378,134,recurring,electricity_share,Electricity Share,1856.65,,,
379,134,recurring,water_share,Water Share,289.04,,,
380,135,recurring,rent,Monthly Rent,10883.00,,,
381,135,recurring,electricity_share,Electricity Share,1789.74,,,
382,136,recurring,rent,Monthly Rent,10883.00,,,
383,136,recurring,electricity_share,Electricity Share,1881.65,,,
384,137,recurring,rent,Monthly Rent,10883.00,,,
385,137,recurring,electricity_share,Electricity Share,1553.88,,,
386,137,recurring,water_share,Water Share,212.86,,,
387,138,recurring,rent,Monthly Rent,10883.00,,,
388,138,recurring,electricity_share,Electricity Share,1866.50,,,
389,138,recurring,water_share,Water Share,388.77,,,
390,139,recurring,rent,Monthly Rent,10883.00,,,
391,139,recurring,electricity_share,Electricity Share,1975.21,,,
392,140,recurring,rent,Monthly Rent,10883.00,,,
393,140,recurring,electricity_share,Electricity Share,1982.27,,,
394,140,recurring,water_share,Water Share,271.41,,,
395,141,recurring,rent,Monthly Rent,10883.00,,,
396,141,recurring,electricity_share,Electricity Share,934.34,,,
397,141,recurring,water_share,Water Share,238.83,,,
398,142,move_out,electricity_share,Final Electricity Share,934.34,,,
399,142,move_out,water_share,Final Water Share,238.83,,,
400,142,move_out,deposit_refund,Security Deposit Refund,-10883.00,,,
401,143,recurring,rent,Monthly Rent,12422.00,,,
402,143,recurring,electricity_share,Electricity Share,2278.06,,,
403,143,recurring,water_share,Water Share,429.36,,,
404,143,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
405,144,recurring,rent,Monthly Rent,12422.00,,,
406,144,recurring,electricity_share,Electricity Share,2434.67,,,
407,144,recurring,water_share,Water Share,323.79,,,
408,144,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
409,145,recurring,rent,Monthly Rent,12422.00,,,
410,145,recurring,electricity_share,Electricity Share,937.38,,,
411,145,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
412,146,move_out,electricity_share,Final Electricity Share,937.38,,,
413,146,move_out,deposit_refund,Security Deposit Refund,-12422.00,,,
414,147,move_in,advance,1 Month Advance — First Month Rent,6718.00,,,
415,147,move_in,security_deposit,1 Month Security Deposit,6718.00,,,
416,148,recurring,rent,Monthly Rent,6718.00,,,
417,148,recurring,electricity_share,Electricity Share,1514.20,,,
418,149,recurring,rent,Monthly Rent,6718.00,,,
419,149,recurring,electricity_share,Electricity Share,1304.70,,,
420,149,recurring,water_share,Water Share,401.54,,,
421,150,recurring,rent,Monthly Rent,6718.00,,,
422,150,recurring,electricity_share,Electricity Share,1610.33,,,
423,150,recurring,water_share,Water Share,435.47,,,
424,151,recurring,rent,Monthly Rent,6718.00,,,
425,151,recurring,electricity_share,Electricity Share,2190.11,,,
426,151,recurring,water_share,Water Share,239.45,,,
427,152,recurring,rent,Monthly Rent,6718.00,,,
428,152,recurring,electricity_share,Electricity Share,2076.05,,,
429,152,recurring,water_share,Water Share,329.91,,,
430,153,recurring,rent,Monthly Rent,6718.00,,,
431,153,recurring,electricity_share,Electricity Share,662.40,,,
432,154,move_out,electricity_share,Final Electricity Share,662.40,,,
433,154,move_out,deposit_refund,Security Deposit Refund,-6718.00,,,
434,155,recurring,rent,Monthly Rent,6923.00,,,
435,155,recurring,electricity_share,Electricity Share,863.94,,,
436,155,recurring,water_share,Water Share,147.58,,,
437,155,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
438,156,recurring,rent,Monthly Rent,6923.00,,,
439,156,recurring,electricity_share,Electricity Share,715.43,,,
440,156,recurring,water_share,Water Share,174.98,,,
441,156,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
442,157,recurring,rent,Monthly Rent,6923.00,,,
443,157,recurring,electricity_share,Electricity Share,685.99,,,
444,157,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
445,158,move_out,electricity_share,Final Electricity Share,685.99,,,
446,158,move_out,deposit_refund,Security Deposit Refund,-6923.00,,,
447,159,recurring,rent,Monthly Rent,5695.00,,,
448,159,recurring,electricity_share,Electricity Share,2356.37,,,
449,160,recurring,rent,Monthly Rent,5695.00,,,
450,160,recurring,electricity_share,Electricity Share,1205.08,,,
451,160,recurring,water_share,Water Share,486.40,,,
452,161,recurring,rent,Monthly Rent,5695.00,,,
453,161,recurring,electricity_share,Electricity Share,2294.64,,,
454,161,recurring,water_share,Water Share,392.17,,,
455,162,recurring,rent,Monthly Rent,5695.00,,,
456,162,recurring,electricity_share,Electricity Share,2043.19,,,
457,163,recurring,rent,Monthly Rent,5695.00,,,
458,163,recurring,electricity_share,Electricity Share,1970.77,,,
459,164,recurring,rent,Monthly Rent,5695.00,,,
460,164,recurring,electricity_share,Electricity Share,901.32,,,
461,164,recurring,water_share,Water Share,128.01,,,
462,165,move_out,electricity_share,Final Electricity Share,901.32,,,
463,165,move_out,water_share,Final Water Share,128.01,,,
464,165,move_out,deposit_refund,Security Deposit Refund,-5695.00,,,
465,166,move_in,advance,1 Month Advance — First Month Rent,9336.00,,,
466,166,move_in,security_deposit,1 Month Security Deposit,9336.00,,,
467,167,recurring,rent,Monthly Rent,9336.00,,,
468,167,recurring,electricity_share,Electricity Share,1577.09,,,
469,167,recurring,water_share,Water Share,283.44,,,
470,167,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
471,168,recurring,rent,Monthly Rent,9336.00,,,
472,168,recurring,electricity_share,Electricity Share,1373.77,,,
473,168,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
474,169,recurring,rent,Monthly Rent,9336.00,,,
475,169,recurring,electricity_share,Electricity Share,1081.30,,,
476,169,recurring,water_share,Water Share,161.60,,,
477,169,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
478,170,move_out,electricity_share,Final Electricity Share,1081.30,,,
479,170,move_out,water_share,Final Water Share,161.60,,,
480,170,move_out,deposit_refund,Security Deposit Refund,-9336.00,,,
481,171,recurring,rent,Monthly Rent,12813.00,,,
482,171,recurring,electricity_share,Electricity Share,1193.36,,,
