transaction_id,billing_id,name,reference_number,transaction_type,category,transaction_date,amount,is_recurring,created_at,updated_at,deleted_at,payment_method,or_number
11,11,Move-In Payment - Billing #11,FRNT-APR2021-11,Credit,Rent Payment,2021-04-01,25626.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210401-11
12,12,Rent Payment - Billing #12,FRNT-MAY2021-12,Credit,Rent Payment,2021-05-01,14799.87,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210501-12
13,13,Rent Payment - Billing #13,FRNT-JUN2021-13,Credit,Rent Payment,2021-06-01,15163.67,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210601-13
14,14,Rent Payment - Billing #14,FRNT-JUL2021-14,Credit,Rent Payment,2021-07-01,14935.01,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210701-14
15,15,Rent Payment - Billing #15,FRNT-AUG2021-15,Credit,Rent Payment,2021-08-01,15019.86,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210801-15
16,16,Rent Payment - Billing #16,FRNT-SEP2021-16,Credit,Rent Payment,2021-09-01,14752.17,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20210901-16
17,17,Rent Payment - Billing #17,FRNT-OCT2021-17,Credit,Rent Payment,2021-10-01,15452.07,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20211001-17
18,18,Rent Payment - Billing #18,FRNT-NOV2021-18,Credit,Rent Payment,2021-11-01,14932.16,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211101-18
19,19,Rent Payment - Billing #19,FRNT-DEC2021-19,Credit,Rent Payment,2021-12-01,14025.81,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20211201-19
20,20,Rent Payment - Billing #20,FRNT-JAN2022-20,Credit,Rent Payment,2022-01-01,14361.03,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220101-20
21,21,Rent Payment - Billing #21,FRNT-FEB2022-21,Credit,Rent Payment,2022-02-01,14777.81,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220201-21
22,22,Rent Payment - Billing #22,FRNT-MAR2022-22,Credit,Rent Payment,2022-03-01,15542.93,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220301-22
23,23,Rent Payment - Billing #23,FRNT-APR2022-23,Credit,Rent Payment,2022-04-01,14222.87,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220401-23
24,24,Move-Out Settlement - Billing #24,FRNT-APR2022-24,Credit,Rent Payment,2022-04-01,-11403.13,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220401-24
25,25,Rent Payment - Billing #25,FRNT-MAY2021-25,Credit,Rent Payment,2021-05-01,13952.70,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210501-25
26,26,Rent Payment - Billing #26,FRNT-JUN2021-26,Credit,Rent Payment,2021-06-01,14155.11,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210601-26
27,27,Rent Payment - Billing #27,FRNT-JUL2021-27,Credit,Rent Payment,2021-07-01,14588.78,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20210701-27
28,28,Rent Payment - Billing #28,FRNT-AUG2021-28,Credit,Rent Payment,2021-08-01,13959.60,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210801-28
29,29,Rent Payment - Billing #29,FRNT-SEP2021-29,Credit,Rent Payment,2021-09-01,13934.19,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210901-29
30,30,Rent Payment - Billing #30,FRNT-OCT2021-30,Credit,Rent Payment,2021-10-01,13033.59,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211001-30
31,31,Move-Out Settlement - Billing #31,FRNT-OCT2021-31,Credit,Rent Payment,2021-10-01,-11810.41,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20211001-31
32,32,Rent Payment - Billing #32,FRNT-JUN2021-32,Credit,Rent Payment,2021-06-01,13707.39,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210601-32
33,33,Move-Out Settlement - Billing #33,FRNT-JUN2021-33,Credit,Rent Payment,2021-06-01,-10800.61,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210601-33
34,34,Rent Payment - Billing #34,FRNT-JUL2021-34,Credit,Rent Payment,2021-07-01,13522.30,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210701-34
35,35,Move-Out Settlement - Billing #35,FRNT-JUL2021-35,Credit,Rent Payment,2021-07-01,-10985.70,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210701-35
36,36,Rent Payment - Billing #36,FRNT-AUG2021-36,Credit,Rent Payment,2021-08-01,13932.64,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210801-36
37,37,Rent Payment - Billing #37,FRNT-SEP2021-37,Credit,Rent Payment,2021-09-01,14338.74,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210901-37
38,38,Rent Payment - Billing #38,FRNT-OCT2021-38,Credit,Rent Payment,2021-10-01,13814.42,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211001-38
39,39,Rent Payment - Billing #39,FRNT-NOV2021-39,Credit,Rent Payment,2021-11-01,13969.67,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211101-39
40,40,Rent Payment - Billing #40,FRNT-DEC2021-40,Credit,Rent Payment,2021-12-01,13813.67,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211201-40
41,41,Rent Payment - Billing #41,FRNT-JAN2022-41,Credit,Rent Payment,2022-01-01,13010.71,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220101-41
42,42,Move-Out Settlement - Billing #42,FRNT-JAN2022-42,Credit,Rent Payment,2022-01-01,-10997.29,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220101-42
43,43,Move-In Payment - Billing #43,FRNT-AUG2021-43,Credit,Rent Payment,2021-08-01,25658.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210801-43
44,44,Rent Payment - Billing #44,FRNT-SEP2021-44,Credit,Rent Payment,2021-09-01,14608.55,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20210901-44
45,45,Move-Out Settlement - Billing #45,FRNT-SEP2021-45,Credit,Rent Payment,2021-09-01,-11549.45,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210901-45
46,46,Move-In Payment - Billing #46,FRNT-AUG2021-46,Credit,Rent Payment,2021-08-01,14174.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210801-46
47,47,Rent Payment - Billing #47,FRNT-SEP2021-47,Credit,Rent Payment,2021-09-01,9834.93,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210901-47
48,48,Rent Payment - Billing #48,FRNT-OCT2021-48,Credit,Rent Payment,2021-10-01,10395.50,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211001-48
49,49,Rent Payment - Billing #49,FRNT-NOV2021-49,Credit,Rent Payment,2021-11-01,8652.14,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211101-49
50,50,Move-Out Settlement - Billing #50,FRNT-NOV2021-50,Credit,Rent Payment,2021-11-01,-6021.86,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20211101-50
51,51,Move-In Payment - Billing #51,FRNT-SEP2021-51,Credit,Rent Payment,2021-09-01,24592.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210901-51
52,52,Rent Payment - Billing #52,FRNT-OCT2021-52,Credit,Rent Payment,2021-10-01,14962.99,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211001-52
53,53,Rent Payment - Billing #53,FRNT-NOV2021-53,Credit,Rent Payment,2021-11-01,15221.47,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20211101-53
54,54,Rent Payment - Billing #54,FRNT-DEC2021-54,Credit,Rent Payment,2021-12-01,13654.67,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20211201-54
55,55,Move-Out Settlement - Billing #55,FRNT-DEC2021-55,Credit,Rent Payment,2021-12-01,-11437.33,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211201-55
56,56,Rent Payment - Billing #56,FRNT-OCT2021-56,Credit,Rent Payment,2021-10-01,14565.59,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20211001-56
57,57,Move-Out Settlement - Billing #57,FRNT-OCT2021-57,Credit,Rent Payment,2021-10-01,-11592.41,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211001-57
58,58,Rent Payment - Billing #58,FRNT-NOV2021-58,Credit,Rent Payment,2021-11-01,15245.03,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20211101-58
59,59,Rent Payment - Billing #59,FRNT-DEC2021-59,Credit,Rent Payment,2021-12-01,14494.70,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20211201-59
60,60,Rent Payment - Billing #60,FRNT-JAN2022-60,Credit,Rent Payment,2022-01-01,14283.87,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220101-60
61,61,Move-Out Settlement - Billing #61,FRNT-JAN2022-61,Credit,Rent Payment,2022-01-01,-11060.13,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220101-61
62,62,Move-In Payment - Billing #62,FRNT-OCT2021-62,Credit,Rent Payment,2021-10-01,13846.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20211001-62
63,63,Rent Payment - Billing #63,FRNT-NOV2021-63,Credit,Rent Payment,2021-11-01,8698.27,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20211101-63
64,64,Rent Payment - Billing #64,FRNT-DEC2021-64,Credit,Rent Payment,2021-12-01,8202.21,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20211201-64
65,65,Rent Payment - Billing #65,FRNT-JAN2022-65,Credit,Rent Payment,2022-01-01,8107.03,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220101-65
66,66,Rent Payment - Billing #66,FRNT-FEB2022-66,Credit,Rent Payment,2022-02-01,7992.35,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220201-66
67,67,Rent Payment - Billing #67,FRNT-MAR2022-67,Credit,Rent Payment,2022-03-01,7449.24,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220301-67
68,68,Rent Payment - Billing #68,FRNT-APR2022-68,Credit,Rent Payment,2022-04-01,7934.52,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220401-68
69,69,Rent Payment - Billing #69,FRNT-MAY2022-69,Credit,Rent Payment,2022-05-01,7813.41,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220501-69
70,70,Rent Payment - Billing #70,FRNT-JUN2022-70,Credit,Rent Payment,2022-06-01,7608.99,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220601-70
71,71,Rent Payment - Billing #71,FRNT-JUL2022-71,Credit,Rent Payment,2022-07-01,7952.21,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220701-71
72,72,Rent Payment - Billing #72,FRNT-AUG2022-72,Credit,Rent Payment,2022-08-01,8091.71,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220801-72
73,73,Rent Payment - Billing #73,FRNT-SEP2022-73,Credit,Rent Payment,2022-09-01,7777.15,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220901-73
74,74,Rent Payment - Billing #74,FRNT-OCT2022-74,Credit,Rent Payment,2022-10-01,7627.36,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20221001-74
75,75,Move-Out Settlement - Billing #75,FRNT-OCT2022-75,Credit,Rent Payment,2022-10-01,-6218.64,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20221001-75
76,76,Rent Payment - Billing #76,FRNT-NOV2021-76,Credit,Rent Payment,2021-11-01,14444.27,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20211101-76
77,77,Move-Out Settlement - Billing #77,FRNT-NOV2021-77,Credit,Rent Payment,2021-11-01,-11713.73,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20211101-77
78,78,Rent Payment - Billing #78,FRNT-DEC2021-78,Credit,Rent Payment,2021-12-01,9447.13,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20211201-78
79,79,Rent Payment - Billing #79,FRNT-JAN2022-79,Credit,Rent Payment,2022-01-01,8787.23,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220101-79
80,80,Rent Payment - Billing #80,FRNT-FEB2022-80,Credit,Rent Payment,2022-02-01,9517.11,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220201-80
81,81,Rent Payment - Billing #81,FRNT-MAR2022-81,Credit,Rent Payment,2022-03-01,8544.05,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220301-81
82,82,Rent Payment - Billing #82,FRNT-APR2022-82,Credit,Rent Payment,2022-04-01,9196.33,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220401-82
83,83,Rent Payment - Billing #83,FRNT-MAY2022-83,Credit,Rent Payment,2022-05-01,8451.68,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220501-83
84,84,Move-Out Settlement - Billing #84,FRNT-MAY2022-84,Credit,Rent Payment,2022-05-01,-5722.32,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220501-84
85,85,Rent Payment - Billing #85,FRNT-DEC2021-85,Credit,Rent Payment,2021-12-01,15516.54,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20211201-85
86,86,Rent Payment - Billing #86,FRNT-JAN2022-86,Credit,Rent Payment,2022-01-01,14824.56,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220101-86
87,87,Rent Payment - Billing #87,FRNT-FEB2022-87,Credit,Rent Payment,2022-02-01,14356.06,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220201-87
88,88,Rent Payment - Billing #88,FRNT-MAR2022-88,Credit,Rent Payment,2022-03-01,15281.11,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220301-88
89,89,Rent Payment - Billing #89,FRNT-APR2022-89,Credit,Rent Payment,2022-04-01,14877.98,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220401-89
90,90,Rent Payment - Billing #90,FRNT-MAY2022-90,Credit,Rent Payment,2022-05-01,13832.79,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220501-90
91,91,Move-Out Settlement - Billing #91,FRNT-MAY2022-91,Credit,Rent Payment,2022-05-01,-11825.21,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220501-91
92,92,Move-In Payment - Billing #92,FRNT-DEC2021-92,Credit,Rent Payment,2021-12-01,13846.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20211201-92
93,93,Rent Payment - Billing #93,FRNT-JAN2022-93,Credit,Rent Payment,2022-01-01,8607.03,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220101-93
94,94,Rent Payment - Billing #94,FRNT-FEB2022-94,Credit,Rent Payment,2022-02-01,8492.35,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220201-94
95,95,Rent Payment - Billing #95,FRNT-MAR2022-95,Credit,Rent Payment,2022-03-01,7949.24,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220301-95
96,96,Move-Out Settlement - Billing #96,FRNT-MAR2022-96,Credit,Rent Payment,2022-03-01,-6396.76,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220301-96
97,97,Rent Payment - Billing #97,FRNT-JAN2022-97,Credit,Rent Payment,2022-01-01,13283.68,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220101-97
98,98,Rent Payment - Billing #98,FRNT-FEB2022-98,Credit,Rent Payment,2022-02-01,13238.63,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220201-98
99,99,Rent Payment - Billing #99,FRNT-MAR2022-99,Credit,Rent Payment,2022-03-01,13641.32,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220301-99
100,100,Rent Payment - Billing #100,FRNT-APR2022-100,Credit,Rent Payment,2022-04-01,13037.81,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220401-100
101,101,Rent Payment - Billing #101,FRNT-MAY2022-101,Credit,Rent Payment,2022-05-01,13094.48,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220501-101
102,102,Rent Payment - Billing #102,FRNT-JUN2022-102,Credit,Rent Payment,2022-06-01,13718.88,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220601-102
103,103,Rent Payment - Billing #103,FRNT-JUL2022-103,Credit,Rent Payment,2022-07-01,13133.41,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220701-103
104,104,Rent Payment - Billing #104,FRNT-AUG2022-104,Credit,Rent Payment,2022-08-01,13364.41,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220801-104
105,105,Rent Payment - Billing #105,FRNT-SEP2022-105,Credit,Rent Payment,2022-09-01,13514.61,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220901-105
106,106,Rent Payment - Billing #106,FRNT-OCT2022-106,Credit,Rent Payment,2022-10-01,13146.48,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20221001-106
107,107,Rent Payment - Billing #107,FRNT-NOV2022-107,Credit,Rent Payment,2022-11-01,13513.39,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20221101-107
108,108,Rent Payment - Billing #108,FRNT-DEC2022-108,Credit,Rent Payment,2022-12-01,13079.85,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20221201-108
109,109,Move-Out Settlement - Billing #109,FRNT-DEC2022-109,Credit,Rent Payment,2022-12-01,-11512.15,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20221201-109
110,110,Move-In Payment - Billing #110,FRNT-JAN2022-110,Credit,Rent Payment,2022-01-01,11390.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220101-110
111,111,Rent Payment - Billing #111,FRNT-FEB2022-111,Credit,Rent Payment,2022-02-01,7700.07,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220201-111
112,112,Rent Payment - Billing #112,FRNT-MAR2022-112,Credit,Rent Payment,2022-03-01,8893.57,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220301-112
113,113,Rent Payment - Billing #113,FRNT-APR2022-113,Credit,Rent Payment,2022-04-01,7620.09,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220401-113
114,114,Move-Out Settlement - Billing #114,FRNT-APR2022-114,Credit,Rent Payment,2022-04-01,-4269.91,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220401-114
115,115,Move-In Payment - Billing #115,FRNT-JAN2022-115,Credit,Rent Payment,2022-01-01,24592.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220101-115
116,116,Rent Payment - Billing #116,FRNT-FEB2022-116,Credit,Rent Payment,2022-02-01,13738.63,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220201-116
117,117,Rent Payment - Billing #117,FRNT-MAR2022-117,Credit,Rent Payment,2022-03-01,14141.32,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220301-117
118,118,Rent Payment - Billing #118,FRNT-APR2022-118,Credit,Rent Payment,2022-04-01,13537.81,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220401-118
119,119,Move-Out Settlement - Billing #119,FRNT-APR2022-119,Credit,Rent Payment,2022-04-01,-11554.19,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220401-119
120,120,Rent Payment - Billing #120,FRNT-FEB2022-120,Credit,Rent Payment,2022-02-01,14154.83,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220201-120
121,121,Rent Payment - Billing #121,FRNT-MAR2022-121,Credit,Rent Payment,2022-03-01,13601.53,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220301-121
122,122,Rent Payment - Billing #122,FRNT-APR2022-122,Credit,Rent Payment,2022-04-01,13806.78,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220401-122
123,123,Rent Payment - Billing #123,FRNT-MAY2022-123,Credit,Rent Payment,2022-05-01,14044.06,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220501-123
124,124,Rent Payment - Billing #124,FRNT-JUN2022-124,Credit,Rent Payment,2022-06-01,14499.59,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220601-124
125,125,Rent Payment - Billing #125,FRNT-JUL2022-125,Credit,Rent Payment,2022-07-01,12888.25,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220701-125
126,126,Move-Out Settlement - Billing #126,FRNT-JUL2022-126,Credit,Rent Payment,2022-07-01,-11119.75,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20220701-126
127,127,Rent Payment - Billing #127,FRNT-FEB2022-127,Credit,Rent Payment,2022-02-01,13888.86,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220201-127
128,128,Move-Out Settlement - Billing #128,FRNT-FEB2022-128,Credit,Rent Payment,2022-02-01,-11455.14,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220201-128
129,129,Move-In Payment - Billing #129,FRNT-FEB2022-129,Credit,Rent Payment,2022-02-01,21766.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220201-129
130,130,Rent Payment - Billing #130,FRNT-MAR2022-130,Credit,Rent Payment,2022-03-01,12920.18,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220301-130
131,131,Rent Payment - Billing #131,FRNT-APR2022-131,Credit,Rent Payment,2022-04-01,13032.22,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220401-131
132,132,Rent Payment - Billing #132,FRNT-MAY2022-132,Credit,Rent Payment,2022-05-01,12729.47,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20220501-132
133,133,Rent Payment - Billing #133,FRNT-JUN2022-133,Credit,Rent Payment,2022-06-01,12818.35,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220601-133
134,134,Rent Payment - Billing #134,FRNT-JUL2022-134,Credit,Rent Payment,2022-07-01,13028.69,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20220701-134
135,135,Rent Payment - Billing #135,FRNT-AUG2022-135,Credit,Rent Payment,2022-08-01,12672.74,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220801-135
136,136,Rent Payment - Billing #136,FRNT-SEP2022-136,Credit,Rent Payment,2022-09-01,12764.65,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20220901-136
137,137,Rent Payment - Billing #137,FRNT-OCT2022-137,Credit,Rent Payment,2022-10-01,12649.74,f,2026-05-07 21:28:49,2026-05-07 21:28:49,,Cash,OR-20221001-137
138,138,Rent Payment - Billing #138,FRNT-NOV2022-138,Credit,Rent Payment,2022-11-01,13138.27,f,2026-05-07 21:28:49,2026-05-07 21:28:49,,Cash,OR-20221101-138
139,139,Rent Payment - Billing #139,FRNT-DEC2022-139,Credit,Rent Payment,2022-12-01,12858.21,f,2026-05-07 21:28:49,2026-05-07 21:28:49,,GCash,OR-20221201-139
140,140,Rent Payment - Billing #140,FRNT-JAN2023-140,Credit,Rent Payment,2023-01-01,13136.68,f,2026-05-07 21:28:49,2026-05-07 21:28:49,,GCash,OR-20230101-140
141,141,Rent Payment - Billing #141,FRNT-FEB2023-141,Credit,Rent Payment,2023-02-01,12056.17,f,2026-05-07 21:28:49,2026-05-07 21:28:49,,Maya,OR-20230201-141
142,142,Move-Out Settlement - Billing #142,FRNT-FEB2023-142,Credit,Rent Payment,2023-02-01,-9709.83,f,2026-05-07 21:28:49,2026-05-07 21:28:49,,Cash,OR-20230201-142
143,143,Rent Payment - Billing #143,FRNT-MAR2022-143,Credit,Rent Payment,2022-03-01,15629.42,f,2026-05-07 21:28:49,2026-05-07 21:28:49,,Cash,OR-20220301-143
