id,psgc_code,name,created_at,updated_at
44,083700000,Leyte,2026-05-07 21:07:21,2026-05-07 21:07:21
45,084800000,Northern Samar,2026-05-07 21:07:21,2026-05-07 21:07:21
46,086000000,Samar,2026-05-07 21:07:21,2026-05-07 21:07:21
47,086400000,Southern Leyte,2026-05-07 21:07:21,2026-05-07 21:07:21
48,087800000,Biliran,2026-05-07 21:07:21,2026-05-07 21:07:21
49,097200000,Zamboanga Del Norte,2026-05-07 21:07:21,2026-05-07 21:07:21
50,097300000,Zamboanga Del Sur,2026-05-07 21:07:21,2026-05-07 21:07:21
51,098300000,Zamboanga Sibugay,2026-05-07 21:07:21,2026-05-07 21:07:21
52,101300000,Bukidnon,2026-05-07 21:07:21,2026-05-07 21:07:21
53,101800000,Camiguin,2026-05-07 21:07:21,2026-05-07 21:07:21
54,103500000,Lanao Del Norte,2026-05-07 21:07:21,2026-05-07 21:07:21
55,104200000,Misamis Occidental,2026-05-07 21:07:21,2026-05-07 21:07:21
56,104300000,Misamis Oriental,2026-05-07 21:07:21,2026-05-07 21:07:21
57,112300000,Davao Del Norte,2026-05-07 21:07:21,2026-05-07 21:07:21
58,112400000,Davao Del Sur,2026-05-07 21:07:21,2026-05-07 21:07:21
59,112500000,Davao Oriental,2026-05-07 21:07:21,2026-05-07 21:07:21
60,118200000,Davao De Oro,2026-05-07 21:07:21,2026-05-07 21:07:21
61,118600000,Davao Occidental,2026-05-07 21:07:21,2026-05-07 21:07:21
62,124700000,Cotabato,2026-05-07 21:07:21,2026-05-07 21:07:21
63,126300000,South Cotabato,2026-05-07 21:07:21,2026-05-07 21:07:21
64,126500000,Sultan Kudarat,2026-05-07 21:07:21,2026-05-07 21:07:21
65,128000000,Sarangani,2026-05-07 21:07:21,2026-05-07 21:07:21
66,140100000,Abra,2026-05-07 21:07:21,2026-05-07 21:07:21
67,141100000,Benguet,2026-05-07 21:07:21,2026-05-07 21:07:21
68,142700000,Ifugao,2026-05-07 21:07:21,2026-05-07 21:07:21
69,143200000,Kalinga,2026-05-07 21:07:21,2026-05-07 21:07:21
70,144400000,Mountain Province,2026-05-07 21:07:21,2026-05-07 21:07:21
71,148100000,Apayao,2026-05-07 21:07:21,2026-05-07 21:07:21
72,160200000,Agusan Del Norte,2026-05-07 21:07:21,2026-05-07 21:07:21
73,160300000,Agusan Del Sur,2026-05-07 21:07:21,2026-05-07 21:07:21
74,166700000,Surigao Del Norte,2026-05-07 21:07:21,2026-05-07 21:07:21
75,166800000,Surigao Del Sur,2026-05-07 21:07:21,2026-05-07 21:07:21
76,168500000,Dinagat Islands,2026-05-07 21:07:21,2026-05-07 21:07:21
77,150700000,Basilan,2026-05-07 21:07:21,2026-05-07 21:07:21
78,153600000,Lanao Del Sur,2026-05-07 21:07:21,2026-05-07 21:07:21
79,153800000,Maguindanao,2026-05-07 21:07:21,2026-05-07 21:07:21
80,156600000,Sulu,2026-05-07 21:07:21,2026-05-07 21:07:21
81,157000000,Tawi-Tawi,2026-05-07 21:07:21,2026-05-07 21:07:21
82,region-090000000,Zamboanga Peninsula,2026-05-07 21:07:21,2026-05-07 21:07:21
83,region-130000000,NCR,2026-05-07 21:07:21,2026-05-07 21:07:21
84,region-120000000,SOCCSKSARGEN,2026-05-07 21:07:21,2026-05-07 21:07:21
85,130000000,Metro Manila,2026-05-07 21:23:43,2026-05-07 21:23:43
