utility_bill_id,unit_id,utility_type,billing_period,total_amount,tenant_count,per_tenant_amount,entered_by,created_at,updated_at,deleted_at
28,23,electricity,2024-04-01,1642.30,1,1642.30,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
29,23,water,2024-04-01,360.36,1,360.36,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
30,23,electricity,2024-05-01,2463.91,1,2463.91,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
31,23,electricity,2024-06-01,2372.70,2,1186.35,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
32,23,electricity,2024-07-01,1702.99,1,1702.99,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
33,23,water,2024-07-01,203.56,1,203.56,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
34,23,electricity,2024-08-01,2001.98,1,2001.98,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
35,23,electricity,2024-09-01,1958.88,2,979.44,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
36,23,water,2024-09-01,300.00,2,150.00,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
37,23,electricity,2024-10-01,2103.39,1,2103.39,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
38,23,water,2024-10-01,487.88,1,487.88,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
39,23,electricity,2024-11-01,2272.19,1,2272.19,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
40,23,water,2024-11-01,243.73,1,243.73,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
41,23,electricity,2024-12-01,1646.57,2,823.29,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
42,23,water,2024-12-01,450.90,2,225.45,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
43,23,electricity,2025-01-01,1899.62,1,1899.62,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
44,23,water,2025-01-01,274.85,1,274.85,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
45,23,electricity,2025-02-01,1756.31,1,1756.31,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
46,23,water,2025-02-01,495.85,1,495.85,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
47,23,electricity,2025-03-01,1824.06,2,912.03,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
48,23,water,2025-03-01,479.15,2,239.58,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
49,23,electricity,2025-04-01,2095.18,1,2095.18,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
50,23,electricity,2025-05-01,1990.64,1,1990.64,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
51,23,electricity,2025-06-01,1342.26,1,1342.26,42,2026-05-07 21:26:12,2026-05-07 21:26:12,
52,23,electricity,2025-07-01,1568.30,1,1568.30,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
53,23,water,2025-07-01,248.05,1,248.05,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
54,23,electricity,2025-08-01,1458.76,1,1458.76,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
55,23,water,2025-08-01,399.15,1,399.15,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
56,23,electricity,2025-09-01,1714.92,2,857.46,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
57,23,electricity,2025-10-01,2025.01,1,2025.01,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
58,23,electricity,2025-11-01,1296.15,1,1296.15,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
59,23,water,2025-11-01,210.99,1,210.99,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
60,23,electricity,2025-12-01,1805.38,1,1805.38,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
61,23,water,2025-12-01,257.89,1,257.89,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
62,23,electricity,2026-01-01,1261.42,1,1261.42,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
63,23,electricity,2026-02-01,2492.56,1,2492.56,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
64,23,water,2026-02-01,346.77,1,346.77,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
65,23,electricity,2026-03-01,2196.11,2,1098.06,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
66,23,water,2026-03-01,266.09,2,133.05,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
67,23,electricity,2026-04-01,1568.62,2,784.31,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
68,23,electricity,2026-05-01,1305.27,1,1305.27,42,2026-05-07 21:26:13,2026-05-07 21:26:13,
69,39,electricity,2021-03-01,1584.01,1,1584.01,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
70,39,water,2021-03-01,335.11,1,335.11,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
71,39,electricity,2021-04-01,2390.84,2,1195.42,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
72,39,water,2021-04-01,262.41,2,131.21,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
73,39,electricity,2021-05-01,2285.92,2,1142.96,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
74,39,water,2021-05-01,319.49,2,159.75,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
75,39,electricity,2021-06-01,2406.77,2,1203.39,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
76,39,electricity,2021-07-01,2036.60,2,1018.30,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
77,39,electricity,2021-08-01,1928.64,1,1928.64,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
78,39,electricity,2021-09-01,1865.81,1,1865.81,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
79,39,water,2021-09-01,468.93,1,468.93,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
80,39,electricity,2021-10-01,1422.46,1,1422.46,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
81,39,water,2021-10-01,387.96,1,387.96,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
82,39,electricity,2021-11-01,1655.42,1,1655.42,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
83,39,water,2021-11-01,310.25,1,310.25,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
84,39,electricity,2021-12-01,1315.62,1,1315.62,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
85,39,water,2021-12-01,494.05,1,494.05,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
86,39,electricity,2022-01-01,2013.41,2,1006.71,4,2026-05-07 21:26:14,2026-05-07 21:26:14,
87,39,electricity,2022-02-01,1766.66,1,1766.66,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
88,39,water,2022-02-01,384.17,1,384.17,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
89,39,electricity,2022-03-01,1357.73,1,1357.73,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
90,39,water,2022-03-01,239.80,1,239.80,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
91,39,electricity,2022-04-01,1322.14,1,1322.14,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
92,39,water,2022-04-01,480.64,1,480.64,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
93,39,electricity,2022-05-01,1568.33,1,1568.33,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
94,39,water,2022-05-01,471.73,1,471.73,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
95,39,electricity,2022-06-01,2153.92,1,2153.92,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
96,39,water,2022-06-01,341.67,1,341.67,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
97,39,electricity,2022-07-01,1768.50,2,884.25,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
98,39,electricity,2022-08-01,2099.61,1,2099.61,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
99,39,water,2022-08-01,381.42,1,381.42,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
100,39,electricity,2022-09-01,2155.70,1,2155.70,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
101,39,electricity,2022-10-01,2355.98,2,1177.99,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
102,39,electricity,2022-11-01,1917.66,1,1917.66,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
103,39,water,2022-11-01,443.22,1,443.22,4,2026-05-07 21:26:15,2026-05-07 21:26:15,
104,39,electricity,2022-12-01,1540.38,1,1540.38,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
105,39,water,2022-12-01,345.99,1,345.99,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
106,39,electricity,2023-01-01,1843.83,1,1843.83,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
107,39,water,2023-01-01,341.26,1,341.26,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
108,39,electricity,2023-02-01,2171.93,1,2171.93,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
109,39,electricity,2023-03-01,2298.74,1,2298.74,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
110,39,electricity,2023-04-01,1799.96,1,1799.96,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
111,39,water,2023-04-01,344.81,1,344.81,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
112,39,electricity,2023-05-01,2170.40,1,2170.40,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
113,39,electricity,2023-06-01,1846.56,1,1846.56,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
114,39,water,2023-06-01,414.33,1,414.33,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
115,39,electricity,2023-07-01,2451.21,1,2451.21,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
116,39,electricity,2023-08-01,1496.82,1,1496.82,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
117,39,electricity,2023-09-01,1793.33,1,1793.33,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
118,39,electricity,2023-10-01,1860.13,2,930.07,4,2026-05-07 21:26:16,2026-05-07 21:26:16,
119,39,electricity,2023-11-01,2334.39,1,2334.39,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
120,39,electricity,2023-12-01,2186.02,1,2186.02,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
121,39,electricity,2024-01-01,1538.99,1,1538.99,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
122,39,electricity,2024-02-01,2351.52,1,2351.52,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
123,39,electricity,2024-03-01,1517.17,1,1517.17,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
124,39,electricity,2024-04-01,2220.34,2,1110.17,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
125,39,water,2024-04-01,378.43,2,189.22,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
126,39,electricity,2024-05-01,1292.01,1,1292.01,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
127,39,water,2024-05-01,376.29,1,376.29,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
128,39,electricity,2024-06-01,1621.66,1,1621.66,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
129,39,electricity,2024-07-01,1568.56,2,784.28,4,2026-05-07 21:26:17,2026-05-07 21:26:17,
130,39,electricity,2024-08-01,1914.03,1,1914.03,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
131,39,water,2024-08-01,459.47,1,459.47,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
132,39,electricity,2024-09-01,1677.99,1,1677.99,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
133,39,water,2024-09-01,427.55,1,427.55,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
134,39,electricity,2024-10-01,1706.43,1,1706.43,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
135,39,water,2024-10-01,210.08,1,210.08,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
136,39,electricity,2024-11-01,1561.20,1,1561.20,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
137,39,water,2024-11-01,450.67,1,450.67,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
138,39,electricity,2024-12-01,1895.86,1,1895.86,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
139,39,water,2024-12-01,200.32,1,200.32,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
140,39,electricity,2025-01-01,1503.93,2,751.97,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
141,39,water,2025-01-01,467.34,2,233.67,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
142,39,electricity,2025-02-01,2313.50,1,2313.50,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
143,39,electricity,2025-03-01,1774.30,1,1774.30,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
144,39,electricity,2025-04-01,1411.28,1,1411.28,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
145,39,electricity,2025-05-01,1844.26,1,1844.26,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
146,39,water,2025-05-01,225.45,1,225.45,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
147,39,electricity,2025-06-01,1331.83,1,1331.83,4,2026-05-07 21:26:18,2026-05-07 21:26:18,
148,39,electricity,2025-07-01,1619.22,1,1619.22,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
149,39,electricity,2025-08-01,1930.08,1,1930.08,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
150,39,water,2025-08-01,257.95,1,257.95,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
151,39,electricity,2025-09-01,1844.37,1,1844.37,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
152,39,electricity,2025-10-01,1301.18,1,1301.18,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
153,39,water,2025-10-01,374.97,1,374.97,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
154,39,electricity,2025-11-01,2304.57,1,2304.57,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
155,39,water,2025-11-01,228.39,1,228.39,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
156,39,electricity,2025-12-01,1726.34,1,1726.34,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
157,39,electricity,2026-01-01,1467.44,2,733.72,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
158,39,water,2026-01-01,455.63,2,227.82,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
159,39,electricity,2026-02-01,1247.26,1,1247.26,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
160,39,electricity,2026-03-01,1442.20,1,1442.20,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
161,39,electricity,2026-04-01,1232.23,2,616.12,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
162,39,water,2026-04-01,375.08,2,187.54,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
163,39,electricity,2026-05-01,2072.48,2,1036.24,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
164,39,water,2026-05-01,229.10,2,114.55,4,2026-05-07 21:26:19,2026-05-07 21:26:19,
165,11,electricity,2021-04-01,1579.15,1,1579.15,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
166,11,electricity,2021-05-01,1622.07,1,1622.07,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
167,11,water,2021-05-01,364.80,1,364.80,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
168,11,electricity,2021-06-01,2078.49,1,2078.49,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
169,11,water,2021-06-01,272.18,1,272.18,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
170,11,electricity,2021-07-01,1899.28,1,1899.28,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
171,11,water,2021-07-01,222.73,1,222.73,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
172,11,electricity,2021-08-01,2206.86,1,2206.86,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
173,11,electricity,2021-09-01,1939.17,1,1939.17,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
174,11,electricity,2021-10-01,2349.11,1,2349.11,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
175,11,water,2021-10-01,289.96,1,289.96,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
176,11,electricity,2021-11-01,2119.16,1,2119.16,4,2026-05-07 21:26:20,2026-05-07 21:26:20,
177,11,electricity,2021-12-01,1212.81,1,1212.81,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
178,11,electricity,2022-01-01,1240.43,1,1240.43,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
179,11,water,2022-01-01,307.60,1,307.60,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
180,11,electricity,2022-02-01,1964.81,1,1964.81,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
181,11,electricity,2022-03-01,2352.63,1,2352.63,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
182,11,water,2022-03-01,377.30,1,377.30,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
183,11,electricity,2022-04-01,2339.80,2,1169.90,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
184,11,water,2022-04-01,479.94,2,239.97,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
185,11,electricity,2022-05-01,2386.71,2,1193.36,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
186,11,electricity,2022-06-01,2487.05,1,2487.05,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
187,11,electricity,2022-07-01,2011.17,1,2011.17,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
188,11,electricity,2022-08-01,1228.20,2,614.10,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
189,11,water,2022-08-01,218.88,2,109.44,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
190,11,electricity,2022-09-01,2111.02,1,2111.02,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
191,11,water,2022-09-01,494.81,1,494.81,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
192,11,electricity,2022-10-01,1861.23,1,1861.23,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
193,11,water,2022-10-01,480.56,1,480.56,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
194,11,electricity,2022-11-01,1420.22,1,1420.22,4,2026-05-07 21:26:21,2026-05-07 21:26:21,
195,11,electricity,2022-12-01,1646.29,1,1646.29,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
196,11,electricity,2023-01-01,2169.40,1,2169.40,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
197,11,water,2023-01-01,369.69,1,369.69,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
198,11,electricity,2023-02-01,1659.99,1,1659.99,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
199,11,water,2023-02-01,276.24,1,276.24,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
200,11,electricity,2023-03-01,1369.20,1,1369.20,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
201,11,water,2023-03-01,459.91,1,459.91,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
202,11,electricity,2023-04-01,1242.72,1,1242.72,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
203,11,electricity,2023-05-01,1626.89,1,1626.89,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
204,11,water,2023-05-01,347.25,1,347.25,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
205,11,electricity,2023-06-01,2150.75,1,2150.75,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
206,11,electricity,2023-07-01,2247.44,1,2247.44,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
207,11,electricity,2023-08-01,2336.42,2,1168.21,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
208,11,water,2023-08-01,344.17,2,172.09,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
209,11,electricity,2023-09-01,1328.08,2,664.04,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
210,11,water,2023-09-01,374.04,2,187.02,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
211,11,electricity,2023-10-01,1284.28,1,1284.28,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
212,11,electricity,2023-11-01,2258.60,1,2258.60,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
213,11,water,2023-11-01,272.48,1,272.48,4,2026-05-07 21:26:22,2026-05-07 21:26:22,
214,11,electricity,2023-12-01,1572.99,2,786.50,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
215,11,water,2023-12-01,380.89,2,190.45,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
216,11,electricity,2024-01-01,1258.22,1,1258.22,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
217,11,water,2024-01-01,488.86,1,488.86,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
218,11,electricity,2024-02-01,2297.31,1,2297.31,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
219,11,electricity,2024-03-01,2421.75,2,1210.88,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
220,11,water,2024-03-01,341.46,2,170.73,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
221,11,electricity,2024-04-01,1513.55,1,1513.55,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
222,11,electricity,2024-05-01,1787.09,1,1787.09,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
223,11,electricity,2024-06-01,1528.45,1,1528.45,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
224,11,water,2024-06-01,412.38,1,412.38,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
225,11,electricity,2024-07-01,2017.18,1,2017.18,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
226,11,water,2024-07-01,400.51,1,400.51,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
227,11,electricity,2024-08-01,1282.50,1,1282.50,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
228,11,water,2024-08-01,485.15,1,485.15,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
229,11,electricity,2024-09-01,1466.33,2,733.17,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
230,11,water,2024-09-01,386.31,2,193.16,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
231,11,electricity,2024-10-01,1966.28,2,983.14,4,2026-05-07 21:26:23,2026-05-07 21:26:23,
232,11,electricity,2024-11-01,1893.76,1,1893.76,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
233,11,electricity,2024-12-01,1600.62,1,1600.62,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
234,11,electricity,2025-01-01,1698.36,1,1698.36,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
235,11,water,2025-01-01,300.16,1,300.16,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
236,11,electricity,2025-02-01,1411.57,2,705.79,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
237,11,water,2025-02-01,207.12,2,103.56,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
238,11,electricity,2025-03-01,1910.90,2,955.45,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
239,11,water,2025-03-01,221.97,2,110.99,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
240,11,electricity,2025-04-01,1624.96,2,812.48,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
241,11,water,2025-04-01,477.70,2,238.85,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
242,11,electricity,2025-05-01,1941.60,3,647.20,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
243,11,electricity,2025-06-01,1669.85,2,834.93,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
244,11,electricity,2025-07-01,1705.48,2,852.74,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
245,11,water,2025-07-01,222.76,2,111.38,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
246,11,electricity,2025-08-01,1749.96,2,874.98,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
247,11,water,2025-08-01,284.13,2,142.07,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
248,11,electricity,2025-09-01,1516.44,2,758.22,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
249,11,water,2025-09-01,380.48,2,190.24,4,2026-05-07 21:26:24,2026-05-07 21:26:24,
250,11,electricity,2025-10-01,1919.02,3,639.67,4,2026-05-07 21:26:25,2026-05-07 21:26:25,
251,11,water,2025-10-01,360.47,3,120.16,4,2026-05-07 21:26:25,2026-05-07 21:26:25,
252,11,electricity,2025-11-01,2010.98,2,1005.49,4,2026-05-07 21:26:25,2026-05-07 21:26:25,
253,11,electricity,2025-12-01,1296.25,2,648.13,4,2026-05-07 21:26:25,2026-05-07 21:26:25,
254,11,water,2025-12-01,229.32,2,114.66,4,2026-05-07 21:26:25,2026-05-07 21:26:25,
