id,billing_id,lease_id,tenant_id,payment_method,reference_number,amount_paid,proof_image,status,reject_reason,reviewed_by,reviewed_at,created_at,updated_at,payment_category_id
27,39,28,12,Bank Transfer,FRNT-NOV2021-39,13969.67,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-11-01 00:00:00,3
28,40,28,12,Bank Transfer,FRNT-DEC2021-40,13813.67,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-12-01 00:00:00,2021-12-01 00:00:00,2021-12-01 00:00:00,4
29,43,266,38,GCash,FRNT-AUG2021-43,25658.00,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-08-01 00:00:00,2021-08-01 00:00:00,2021-08-01 00:00:00,4
30,46,114,36,GCash,FRNT-AUG2021-46,14174.00,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-08-01 00:00:00,2021-08-01 00:00:00,2021-08-01 00:00:00,4
31,47,114,36,Bank Transfer,FRNT-SEP2021-47,9834.93,payment_proofs/sample_proof_2.svg,Confirmed,,4,2021-09-01 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,4
32,48,114,36,Bank Transfer,FRNT-OCT2021-48,10395.50,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,1
33,49,114,36,Bank Transfer,FRNT-NOV2021-49,8652.14,payment_proofs/sample_proof_1.svg,Confirmed,,4,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-11-01 00:00:00,2
34,51,59,33,Bank Transfer,FRNT-SEP2021-51,24592.00,payment_proofs/sample_proof_2.svg,Confirmed,,3,2021-09-01 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,1
35,52,59,33,Bank Transfer,FRNT-OCT2021-52,14962.99,payment_proofs/sample_proof_1.svg,Confirmed,,3,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,4
36,56,267,38,GCash,FRNT-OCT2021-56,14565.59,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2
37,58,244,41,Maya,FRNT-NOV2021-58,15245.03,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-11-01 00:00:00,2
38,59,244,41,GCash,FRNT-DEC2021-59,14494.70,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-12-01 00:00:00,2021-12-01 00:00:00,2021-12-01 00:00:00,4
39,62,159,17,GCash,FRNT-OCT2021-62,13846.00,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,3
40,63,159,17,GCash,FRNT-NOV2021-63,8698.27,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-11-01 00:00:00,3
41,64,159,17,GCash,FRNT-DEC2021-64,8202.21,payment_proofs/sample_proof_2.svg,Confirmed,,4,2021-12-01 00:00:00,2021-12-01 00:00:00,2021-12-01 00:00:00,3
42,65,159,17,GCash,FRNT-JAN2022-65,8107.03,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,2
43,66,159,17,Bank Transfer,FRNT-FEB2022-66,7992.35,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-02-01 00:00:00,2022-02-01 00:00:00,2022-02-01 00:00:00,2
44,67,159,17,GCash,FRNT-MAR2022-67,7449.24,payment_proofs/sample_proof_5.svg,Confirmed,,4,2022-03-01 00:00:00,2022-03-01 00:00:00,2022-03-01 00:00:00,1
45,68,159,17,Maya,FRNT-APR2022-68,7934.52,payment_proofs/sample_proof_2.svg,Confirmed,,4,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,3
46,71,159,17,GCash,FRNT-JUL2022-71,7952.21,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2
47,72,159,17,GCash,FRNT-AUG2022-72,8091.71,payment_proofs/sample_proof_4.svg,Confirmed,,4,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,1
48,74,159,17,Bank Transfer,FRNT-OCT2022-74,7627.36,payment_proofs/sample_proof_4.svg,Confirmed,,4,2022-10-01 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,2
49,78,115,36,Maya,FRNT-DEC2021-78,9447.13,payment_proofs/sample_proof_1.svg,Confirmed,,4,2021-12-01 00:00:00,2021-12-01 00:00:00,2021-12-01 00:00:00,4
50,79,115,36,GCash,FRNT-JAN2022-79,8787.23,payment_proofs/sample_proof_4.svg,Confirmed,,4,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,3
51,80,115,36,Bank Transfer,FRNT-FEB2022-80,9517.11,payment_proofs/sample_proof_4.svg,Confirmed,,4,2022-02-01 00:00:00,2022-02-01 00:00:00,2022-02-01 00:00:00,1
52,82,115,36,Bank Transfer,FRNT-APR2022-82,9196.33,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,1
53,83,115,36,GCash,FRNT-MAY2022-83,8451.68,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,1
54,88,269,38,Bank Transfer,FRNT-MAR2022-88,15281.11,payment_proofs/sample_proof_2.svg,Confirmed,,4,2022-03-01 00:00:00,2022-03-01 00:00:00,2022-03-01 00:00:00,4
55,90,269,38,Bank Transfer,FRNT-MAY2022-90,13832.79,payment_proofs/sample_proof_5.svg,Confirmed,,4,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,1
56,92,281,2,Bank Transfer,FRNT-DEC2021-92,13846.00,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-12-01 00:00:00,2021-12-01 00:00:00,2021-12-01 00:00:00,1
57,97,60,33,Maya,FRNT-JAN2022-97,13283.68,payment_proofs/sample_proof_3.svg,Confirmed,,3,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,3
58,98,60,33,Maya,FRNT-FEB2022-98,13238.63,payment_proofs/sample_proof_3.svg,Confirmed,,3,2022-02-01 00:00:00,2022-02-01 00:00:00,2022-02-01 00:00:00,3
59,99,60,33,Bank Transfer,FRNT-MAR2022-99,13641.32,payment_proofs/sample_proof_5.svg,Confirmed,,3,2022-03-01 00:00:00,2022-03-01 00:00:00,2022-03-01 00:00:00,2
60,102,60,33,Maya,FRNT-JUN2022-102,13718.88,payment_proofs/sample_proof_2.svg,Confirmed,,3,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,1
61,103,60,33,GCash,FRNT-JUL2022-103,13133.41,payment_proofs/sample_proof_5.svg,Confirmed,,3,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,1
62,104,60,33,GCash,FRNT-AUG2022-104,13364.41,payment_proofs/sample_proof_2.svg,Confirmed,,3,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,4
63,105,60,33,GCash,FRNT-SEP2022-105,13514.61,payment_proofs/sample_proof_5.svg,Confirmed,,3,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,2
64,106,60,33,GCash,FRNT-OCT2022-106,13146.48,payment_proofs/sample_proof_5.svg,Confirmed,,3,2022-10-01 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,3
65,107,60,33,Maya,FRNT-NOV2022-107,13513.39,payment_proofs/sample_proof_3.svg,Confirmed,,3,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,3
66,110,128,19,Bank Transfer,FRNT-JAN2022-110,11390.00,payment_proofs/sample_proof_5.svg,Confirmed,,43,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,2
67,112,128,19,Bank Transfer,FRNT-MAR2022-112,8893.57,payment_proofs/sample_proof_3.svg,Confirmed,,43,2022-03-01 00:00:00,2022-03-01 00:00:00,2022-03-01 00:00:00,3
68,113,128,19,Maya,FRNT-APR2022-113,7620.09,payment_proofs/sample_proof_1.svg,Confirmed,,43,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,2
69,117,71,35,Bank Transfer,FRNT-MAR2022-117,14141.32,payment_proofs/sample_proof_5.svg,Confirmed,,3,2022-03-01 00:00:00,2022-03-01 00:00:00,2022-03-01 00:00:00,3
70,118,71,35,Bank Transfer,FRNT-APR2022-118,13537.81,payment_proofs/sample_proof_3.svg,Confirmed,,3,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,4
71,120,29,12,GCash,FRNT-FEB2022-120,14154.83,payment_proofs/sample_proof_5.svg,Confirmed,,4,2022-02-01 00:00:00,2022-02-01 00:00:00,2022-02-01 00:00:00,4
72,121,29,12,Maya,FRNT-MAR2022-121,13601.53,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-03-01 00:00:00,2022-03-01 00:00:00,2022-03-01 00:00:00,2
73,122,29,12,GCash,FRNT-APR2022-122,13806.78,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,2
74,123,29,12,Bank Transfer,FRNT-MAY2022-123,14044.06,payment_proofs/sample_proof_4.svg,Confirmed,,4,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,2
75,124,29,12,Bank Transfer,FRNT-JUN2022-124,14499.59,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,2
76,125,29,12,Maya,FRNT-JUL2022-125,12888.25,payment_proofs/sample_proof_4.svg,Confirmed,,4,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,4
77,127,245,41,Maya,FRNT-FEB2022-127,13888.86,payment_proofs/sample_proof_2.svg,Confirmed,,4,2022-02-01 00:00:00,2022-02-01 00:00:00,2022-02-01 00:00:00,1
78,129,43,16,Maya,FRNT-FEB2022-129,21766.00,payment_proofs/sample_proof_3.svg,Confirmed,,43,2022-02-01 00:00:00,2022-02-01 00:00:00,2022-02-01 00:00:00,2
79,131,43,16,Maya,FRNT-APR2022-131,13032.22,payment_proofs/sample_proof_3.svg,Confirmed,,43,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,2
80,133,43,16,Maya,FRNT-JUN2022-133,12818.35,payment_proofs/sample_proof_1.svg,Confirmed,,43,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,1
81,134,43,16,GCash,FRNT-JUL2022-134,13028.69,payment_proofs/sample_proof_1.svg,Confirmed,,43,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,3
82,135,43,16,Maya,FRNT-AUG2022-135,12672.74,payment_proofs/sample_proof_3.svg,Confirmed,,43,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,2
83,136,43,16,Maya,FRNT-SEP2022-136,12764.65,payment_proofs/sample_proof_1.svg,Confirmed,,43,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,1
84,139,43,16,GCash,FRNT-DEC2022-139,12858.21,payment_proofs/sample_proof_3.svg,Confirmed,,43,2022-12-01 00:00:00,2022-12-01 00:00:00,2022-12-01 00:00:00,3
85,140,43,16,GCash,FRNT-JAN2023-140,13136.68,payment_proofs/sample_proof_1.svg,Confirmed,,43,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,1
86,141,43,16,Maya,FRNT-FEB2023-141,12056.17,payment_proofs/sample_proof_3.svg,Confirmed,,43,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,4
87,144,246,41,GCash,FRNT-APR2022-144,15680.46,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,1
88,145,246,41,Bank Transfer,FRNT-MAY2022-145,13859.38,payment_proofs/sample_proof_2.svg,Confirmed,,4,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,3
89,148,183,24,Maya,FRNT-APR2022-148,8232.20,payment_proofs/sample_proof_4.svg,Confirmed,,42,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,1
90,149,183,24,Maya,FRNT-MAY2022-149,8424.24,payment_proofs/sample_proof_4.svg,Confirmed,,42,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,3
91,150,183,24,Bank Transfer,FRNT-JUN2022-150,8763.80,payment_proofs/sample_proof_4.svg,Confirmed,,42,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,2
92,151,183,24,GCash,FRNT-JUL2022-151,9147.56,payment_proofs/sample_proof_4.svg,Confirmed,,42,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,1
93,152,183,24,Maya,FRNT-AUG2022-152,9123.96,payment_proofs/sample_proof_3.svg,Confirmed,,42,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,2
94,153,183,24,GCash,FRNT-SEP2022-153,7380.40,payment_proofs/sample_proof_4.svg,Confirmed,,42,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,3
95,155,282,2,Bank Transfer,FRNT-APR2022-155,8434.52,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,2
96,156,282,2,Bank Transfer,FRNT-MAY2022-156,8313.41,payment_proofs/sample_proof_5.svg,Confirmed,,4,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,4
97,157,282,2,GCash,FRNT-JUN2022-157,8108.99,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,3
98,159,129,19,GCash,FRNT-MAY2022-159,8051.37,payment_proofs/sample_proof_1.svg,Confirmed,,43,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,1
99,160,129,19,Maya,FRNT-JUN2022-160,7386.48,payment_proofs/sample_proof_5.svg,Confirmed,,43,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,2
100,163,129,19,Maya,FRNT-SEP2022-163,7665.77,payment_proofs/sample_proof_3.svg,Confirmed,,43,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,4
101,166,208,40,GCash,FRNT-APR2022-166,18672.00,payment_proofs/sample_proof_3.svg,Confirmed,,3,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,3
102,167,208,40,Bank Transfer,FRNT-MAY2022-167,11696.53,payment_proofs/sample_proof_1.svg,Confirmed,,3,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,1
103,168,208,40,Maya,FRNT-JUN2022-168,11209.77,payment_proofs/sample_proof_1.svg,Confirmed,,3,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,3
104,169,208,40,GCash,FRNT-JUL2022-169,11078.90,payment_proofs/sample_proof_4.svg,Confirmed,,3,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,4
105,171,293,7,Maya,FRNT-MAY2022-171,14506.36,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,3
106,173,72,35,Maya,FRNT-MAY2022-173,13594.48,payment_proofs/sample_proof_2.svg,Confirmed,,3,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,3
107,175,141,20,Maya,FRNT-APR2022-175,14710.00,payment_proofs/sample_proof_2.svg,Confirmed,,43,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,2
108,176,141,20,Maya,FRNT-MAY2022-176,8902.94,payment_proofs/sample_proof_3.svg,Confirmed,,43,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,2
109,178,142,20,GCash,FRNT-JUN2022-178,8709.77,payment_proofs/sample_proof_4.svg,Confirmed,,43,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,4
110,181,142,20,Maya,FRNT-SEP2022-181,9405.08,payment_proofs/sample_proof_1.svg,Confirmed,,43,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,1
111,182,142,20,Bank Transfer,FRNT-OCT2022-182,9505.04,payment_proofs/sample_proof_2.svg,Confirmed,,43,2022-10-01 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,2
112,183,142,20,Maya,FRNT-NOV2022-183,9460.68,payment_proofs/sample_proof_2.svg,Confirmed,,43,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,4
113,184,142,20,Maya,FRNT-DEC2022-184,8964.83,payment_proofs/sample_proof_1.svg,Confirmed,,43,2022-12-01 00:00:00,2022-12-01 00:00:00,2022-12-01 00:00:00,3
114,185,142,20,Bank Transfer,FRNT-JAN2023-185,9589.77,payment_proofs/sample_proof_3.svg,Confirmed,,43,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,3
115,187,142,20,Bank Transfer,FRNT-MAR2023-187,8256.51,payment_proofs/sample_proof_1.svg,Confirmed,,43,2023-03-01 00:00:00,2023-03-01 00:00:00,2023-03-01 00:00:00,3
116,188,142,20,GCash,FRNT-APR2023-188,8751.76,payment_proofs/sample_proof_4.svg,Confirmed,,43,2023-04-01 00:00:00,2023-04-01 00:00:00,2023-04-01 00:00:00,1
117,189,142,20,GCash,FRNT-MAY2023-189,7900.04,payment_proofs/sample_proof_5.svg,Confirmed,,43,2023-05-01 00:00:00,2023-05-01 00:00:00,2023-05-01 00:00:00,2
118,194,247,41,Bank Transfer,FRNT-SEP2022-194,14648.67,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,4
119,195,247,41,Bank Transfer,FRNT-OCT2022-195,14264.91,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-10-01 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,3
120,196,247,41,GCash,FRNT-NOV2022-196,14097.69,payment_proofs/sample_proof_5.svg,Confirmed,,4,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,1
121,197,247,41,GCash,FRNT-DEC2022-197,14808.77,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-12-01 00:00:00,2022-12-01 00:00:00,2022-12-01 00:00:00,2
122,198,247,41,Bank Transfer,FRNT-JAN2023-198,13964.54,payment_proofs/sample_proof_5.svg,Confirmed,,4,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,4
123,199,247,41,Maya,FRNT-FEB2023-199,14390.25,payment_proofs/sample_proof_1.svg,Confirmed,,4,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,1
124,200,247,41,Maya,FRNT-MAR2023-200,13961.70,payment_proofs/sample_proof_1.svg,Confirmed,,4,2023-03-01 00:00:00,2023-03-01 00:00:00,2023-03-01 00:00:00,1
125,202,247,41,Bank Transfer,FRNT-MAY2023-202,13481.46,payment_proofs/sample_proof_1.svg,Confirmed,,4,2023-05-01 00:00:00,2023-05-01 00:00:00,2023-05-01 00:00:00,1
126,204,270,38,GCash,FRNT-JUN2022-204,14714.75,payment_proofs/sample_proof_4.svg,Confirmed,,4,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,1
127,206,294,7,GCash,FRNT-JUN2022-206,15800.05,payment_proofs/sample_proof_3.svg,Confirmed,,4,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,3
128,208,294,7,GCash,FRNT-AUG2022-208,14036.54,payment_proofs/sample_proof_2.svg,Confirmed,,4,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,3
129,210,150,9,Maya,FRNT-MAY2022-210,21296.00,payment_proofs/sample_proof_1.svg,Confirmed,,3,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,4
130,211,150,9,Bank Transfer,FRNT-JUN2022-211,12704.21,payment_proofs/sample_proof_3.svg,Confirmed,,3,2022-06-01 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,3
131,213,150,9,GCash,FRNT-AUG2022-213,12086.91,payment_proofs/sample_proof_1.svg,Confirmed,,3,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,3
132,216,73,35,Bank Transfer,FRNT-JUL2022-216,13133.41,payment_proofs/sample_proof_1.svg,Confirmed,,3,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,4
133,217,73,35,Maya,FRNT-AUG2022-217,13364.41,payment_proofs/sample_proof_4.svg,Confirmed,,3,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,2
134,218,73,35,Maya,FRNT-SEP2022-218,13514.61,payment_proofs/sample_proof_2.svg,Confirmed,,3,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,4
135,219,73,35,Bank Transfer,FRNT-OCT2022-219,13146.48,payment_proofs/sample_proof_5.svg,Confirmed,,3,2022-10-01 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,1
136,220,73,35,Maya,FRNT-NOV2022-220,13513.39,payment_proofs/sample_proof_3.svg,Confirmed,,3,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,1
137,221,73,35,Bank Transfer,FRNT-DEC2022-221,13079.85,payment_proofs/sample_proof_5.svg,Confirmed,,3,2022-12-01 00:00:00,2022-12-01 00:00:00,2022-12-01 00:00:00,2
138,223,73,35,GCash,FRNT-FEB2023-223,13650.78,payment_proofs/sample_proof_2.svg,Confirmed,,3,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-02-01 00:00:00,4
139,224,73,35,Maya,FRNT-MAR2023-224,13310.46,payment_proofs/sample_proof_1.svg,Confirmed,,3,2023-03-01 00:00:00,2023-03-01 00:00:00,2023-03-01 00:00:00,1
