bed_id,unit_id,bed_number,status,created_at,updated_at,deleted_at
6,3,B4,Occupied,2026-05-07 21:25:49,2026-05-07 21:26:09,
13,7,B4,Occupied,2026-05-07 21:25:49,2026-05-07 21:26:09,
14,8,B1,Occupied,2026-05-07 21:25:50,2026-05-07 21:26:09,
15,8,B2,Occupied,2026-05-07 21:25:50,2026-05-07 21:26:09,
16,8,B3,Occupied,2026-05-07 21:25:50,2026-05-07 21:26:09,
19,10,B1,Occupied,2026-05-07 21:25:50,2026-05-07 21:26:09,
21,10,B3,Occupied,2026-05-07 21:25:50,2026-05-07 21:26:09,
22,10,B4,Occupied,2026-05-07 21:25:50,2026-05-07 21:26:09,
24,11,B2,Occupied,2026-05-07 21:25:51,2026-05-07 21:26:09,
26,11,B4,Occupied,2026-05-07 21:25:51,2026-05-07 21:26:09,
32,14,B4,Occupied,2026-05-07 21:25:52,2026-05-07 21:26:09,
36,16,B3,Occupied,2026-05-07 21:25:52,2026-05-07 21:26:09,
37,16,B4,Occupied,2026-05-07 21:25:52,2026-05-07 21:26:09,
38,17,B1,Occupied,2026-05-07 21:25:52,2026-05-07 21:26:09,
40,18,B2,Occupied,2026-05-07 21:25:53,2026-05-07 21:26:09,
41,18,B3,Occupied,2026-05-07 21:25:53,2026-05-07 21:26:09,
43,19,B1,Occupied,2026-05-07 21:25:53,2026-05-07 21:26:09,
44,20,B1,Occupied,2026-05-07 21:25:53,2026-05-07 21:26:09,
46,20,B3,Occupied,2026-05-07 21:25:53,2026-05-07 21:26:09,
47,20,B4,Occupied,2026-05-07 21:25:53,2026-05-07 21:26:09,
49,21,B2,Occupied,2026-05-07 21:25:54,2026-05-07 21:26:09,
52,22,B1,Occupied,2026-05-07 21:25:54,2026-05-07 21:26:09,
56,23,B4,Occupied,2026-05-07 21:25:54,2026-05-07 21:26:09,
59,25,B2,Occupied,2026-05-07 21:25:55,2026-05-07 21:26:09,
61,25,B4,Occupied,2026-05-07 21:25:55,2026-05-07 21:26:09,
64,28,B1,Occupied,2026-05-07 21:25:56,2026-05-07 21:26:09,
71,34,B2,Occupied,2026-05-07 21:25:57,2026-05-07 21:26:09,
79,39,B2,Occupied,2026-05-07 21:25:58,2026-05-07 21:26:09,
84,40,B3,Occupied,2026-05-07 21:25:58,2026-05-07 21:26:09,
86,41,B1,Occupied,2026-05-07 21:25:58,2026-05-07 21:26:09,
91,43,B4,Occupied,2026-05-07 21:25:59,2026-05-07 21:26:09,
101,47,B1,Occupied,2026-05-07 21:26:00,2026-05-07 21:26:09,
104,49,B2,Occupied,2026-05-07 21:26:00,2026-05-07 21:26:09,
105,49,B3,Occupied,2026-05-07 21:26:00,2026-05-07 21:26:09,
106,49,B4,Occupied,2026-05-07 21:26:00,2026-05-07 21:26:09,
107,50,B1,Occupied,2026-05-07 21:26:01,2026-05-07 21:26:09,
