unit_id,property_id,manager_id,floor_number,unit_number,occupants,living_area,furnishing,bed_type,room_cap,room_type,price,amenities,created_at,updated_at,deleted_at
19,1,42,5,0503,Female,188.2,Semi-furnished,Single,1,,10175.00,"[""Hot_Cold_Shower"",""Microwave"",""Rice_Cooker"",""Utility_Subsidy"",""Washing_Machine""]",2026-05-07 21:25:53,2026-05-07 21:25:53,
21,2,3,1,0101,Male,154.4,Semi-furnished,Bunk,4,,6328.00,"[""Housekeeping"",""Microwave"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Access_Gym""]",2026-05-07 21:25:53,2026-05-07 21:25:53,
22,2,42,1,0102,Co-ed,179.3,Semi-furnished,Single,1,,11347.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Housekeeping"",""Dining_Table"",""Utility_Subsidy"",""Induction_Cooker"",""Access_Gym""]",2026-05-07 21:25:54,2026-05-07 21:25:54,
23,2,42,1,0103,Female,199.5,Semi-furnished,Bunk,4,,9312.00,"[""Electric_Fan"",""Water_Kettle"",""Housekeeping"",""Dining_Table"",""Utility_Subsidy"",""Washing_Machine"",""Access_Gym""]",2026-05-07 21:25:54,2026-05-07 21:25:54,
24,2,4,1,0104,Co-ed,172.2,Semi-furnished,Single,1,,14476.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Closet_Cabinet"",""Rice_Cooker"",""Dining_Table"",""AC_Unit"",""Induction_Cooker"",""Washing_Machine"",""Access_Gym""]",2026-05-07 21:25:54,2026-05-07 21:25:54,
25,2,43,2,0201,Co-ed,85.8,Semi-furnished,Bunk,4,,13743.00,"[""Electric_Fan"",""Water_Kettle"",""Housekeeping"",""Refrigerator"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:55,2026-05-07 21:25:55,
26,2,42,2,0202,Male,171.4,Semi-furnished,Single,1,,10374.00,"[""Hot_Cold_Shower"",""Housekeeping"",""Refrigerator"",""Microwave"",""Dining_Table"",""AC_Unit"",""Access_Pool""]",2026-05-07 21:25:55,2026-05-07 21:25:55,
27,2,4,2,0203,Male,102.7,Semi-furnished,Single,1,,11594.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Microwave"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:56,2026-05-07 21:25:56,
28,2,4,2,0204,Co-ed,131.2,Semi-furnished,Single,1,,7087.00,"[""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Rice_Cooker"",""Dining_Table"",""AC_Unit""]",2026-05-07 21:25:56,2026-05-07 21:25:56,
29,2,43,3,0301,Co-ed,108.8,Semi-furnished,Single,1,,12292.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Refrigerator"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:56,2026-05-07 21:25:56,
30,2,3,3,0302,Co-ed,92.4,Semi-furnished,Single,1,,9167.00,"[""Free_Wifi"",""Electric_Fan"",""Closet_Cabinet"",""Rice_Cooker"",""AC_Unit"",""Washing_Machine"",""Access_Gym""]",2026-05-07 21:25:56,2026-05-07 21:25:56,
31,2,44,3,0303,Female,81.2,Semi-furnished,Single,1,,11998.00,"[""Free_Wifi"",""Water_Kettle"",""Refrigerator"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker"",""Access_Pool""]",2026-05-07 21:25:56,2026-05-07 21:25:56,
32,2,3,3,0304,Co-ed,187.9,Semi-furnished,Single,1,,7025.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker"",""Access_Gym""]",2026-05-07 21:25:56,2026-05-07 21:25:56,
20,1,4,5,0504,Female,164,Semi-furnished,Bunk,4,,6923.00,"[""Free_Wifi"",""Housekeeping"",""Refrigerator"",""Dining_Table"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:25:53,2026-05-07 21:31:47,
33,2,43,4,0401,Female,147.5,Semi-furnished,Single,1,,12245.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Electric_Fan"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Microwave"",""Induction_Cooker"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:57,2026-05-07 21:25:57,
34,2,43,4,0402,Co-ed,141.3,Semi-furnished,Bunk,4,,7241.00,"[""Free_Wifi"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Rice_Cooker"",""Utility_Subsidy"",""AC_Unit"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:57,2026-05-07 21:25:57,
35,2,3,4,0403,Co-ed,190.8,Semi-furnished,Single,1,,12196.00,"[""Free_Wifi"",""Water_Kettle"",""Housekeeping"",""Refrigerator"",""Microwave"",""Rice_Cooker"",""Utility_Subsidy"",""AC_Unit"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:25:57,2026-05-07 21:25:57,
36,2,44,4,0404,Co-ed,107.5,Semi-furnished,Single,1,,11144.00,"[""Water_Kettle"",""Housekeeping"",""Microwave"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker"",""Access_Pool""]",2026-05-07 21:25:57,2026-05-07 21:25:57,
37,2,44,5,0501,Co-ed,146.2,Semi-furnished,Single,1,,13096.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Electric_Fan"",""Refrigerator"",""Microwave"",""Utility_Subsidy"",""Access_Gym""]",2026-05-07 21:25:57,2026-05-07 21:25:57,
38,2,44,5,0502,Male,145.4,Semi-furnished,Single,1,,7388.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Microwave"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Washing_Machine"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:58,2026-05-07 21:25:58,
39,2,4,5,0503,Co-ed,156.6,Semi-furnished,Bunk,4,,12004.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Rice_Cooker"",""Dining_Table"",""AC_Unit"",""Induction_Cooker""]",2026-05-07 21:25:58,2026-05-07 21:25:58,
40,2,43,5,0504,Female,107.1,Semi-furnished,Bunk,4,,5695.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Electric_Fan"",""Closet_Cabinet"",""Refrigerator"",""Rice_Cooker"",""AC_Unit"",""Washing_Machine""]",2026-05-07 21:25:58,2026-05-07 21:25:58,
41,3,44,1,0101,Male,113.7,Semi-furnished,Single,1,,13169.00,"[""Electric_Fan"",""Water_Kettle"",""Housekeeping"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit""]",2026-05-07 21:25:58,2026-05-07 21:25:58,
42,3,3,1,0102,Female,168.5,Semi-furnished,Single,1,,14692.00,"[""Hot_Cold_Shower"",""Water_Kettle"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker""]",2026-05-07 21:25:59,2026-05-07 21:25:59,
43,3,4,1,0103,Male,115.7,Semi-furnished,Bunk,4,,12422.00,"[""Free_Wifi"",""Refrigerator"",""AC_Unit"",""Washing_Machine""]",2026-05-07 21:25:59,2026-05-07 21:25:59,
44,3,44,1,0104,Co-ed,197.3,Semi-furnished,Single,1,,5732.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Microwave"",""Rice_Cooker"",""Induction_Cooker"",""Access_Gym""]",2026-05-07 21:25:59,2026-05-07 21:25:59,
45,3,42,2,0201,Co-ed,144.5,Semi-furnished,Bunk,4,,8004.00,"[""Free_Wifi"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Utility_Subsidy"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:25:59,2026-05-07 21:25:59,
46,3,42,2,0202,Male,126.5,Semi-furnished,Bunk,4,,14546.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Electric_Fan"",""Microwave"",""Rice_Cooker"",""AC_Unit"",""Induction_Cooker""]",2026-05-07 21:26:00,2026-05-07 21:26:00,
47,3,44,2,0203,Co-ed,119.9,Semi-furnished,Single,1,,11042.00,"[""Free_Wifi"",""Closet_Cabinet"",""Refrigerator"",""Microwave"",""Rice_Cooker"",""AC_Unit""]",2026-05-07 21:26:00,2026-05-07 21:26:00,
48,3,3,2,0204,Female,122.7,Semi-furnished,Single,1,,13244.00,"[""Free_Wifi"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Utility_Subsidy"",""AC_Unit"",""Washing_Machine"",""Access_Gym""]",2026-05-07 21:26:00,2026-05-07 21:26:00,
49,3,3,3,0301,Co-ed,186.7,Semi-furnished,Bunk,4,,9336.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Refrigerator"",""Dining_Table"",""Access_Pool""]",2026-05-07 21:26:00,2026-05-07 21:26:00,
50,3,3,3,0302,Co-ed,193.8,Semi-furnished,Single,1,,10648.00,"[""Electric_Fan"",""Water_Kettle"",""Housekeeping"",""Microwave"",""Access_Gym""]",2026-05-07 21:26:01,2026-05-07 21:26:01,
51,3,,3,0303,Female,161.7,Semi-furnished,Bunk,4,,11120.00,"[""Housekeeping"",""Dining_Table"",""Access_Pool""]",2026-05-07 21:26:01,2026-05-07 21:26:01,
52,3,,3,0304,Male,102.8,Semi-furnished,Single,1,,7437.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Refrigerator"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:26:01,2026-05-07 21:26:01,
53,3,,4,0401,Co-ed,144.6,Semi-furnished,Bunk,4,,10748.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:26:01,2026-05-07 21:26:01,
54,3,,4,0402,Co-ed,152.4,Semi-furnished,Single,1,,10252.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Microwave"",""Rice_Cooker"",""Dining_Table"",""AC_Unit"",""Induction_Cooker"",""Access_Pool""]",2026-05-07 21:26:02,2026-05-07 21:26:02,
55,3,,4,0403,Male,105.4,Semi-furnished,Bunk,4,,10082.00,"[""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Microwave"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Access_Pool""]",2026-05-07 21:26:02,2026-05-07 21:26:02,
56,3,,4,0404,Female,127.2,Semi-furnished,Single,1,,11610.00,"[""Free_Wifi"",""Water_Kettle"",""Housekeeping"",""Rice_Cooker"",""Dining_Table"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:26:02,2026-05-07 21:26:02,
57,3,,5,0501,Female,155.9,Semi-furnished,Single,1,,13538.00,"[""Hot_Cold_Shower"",""Water_Kettle"",""Housekeeping"",""Microwave"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:26:02,2026-05-07 21:26:02,
58,3,,5,0502,Male,196.3,Semi-furnished,Single,1,,13848.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Closet_Cabinet"",""Refrigerator"",""Rice_Cooker"",""AC_Unit"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:26:02,2026-05-07 21:26:02,
59,3,,5,0503,Male,154.3,Semi-furnished,Single,1,,5224.00,"[""Closet_Cabinet"",""Utility_Subsidy"",""Induction_Cooker"",""Access_Pool""]",2026-05-07 21:26:03,2026-05-07 21:26:03,
60,3,,5,0504,Co-ed,169.3,Semi-furnished,Bunk,4,,6511.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Closet_Cabinet"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:26:03,2026-05-07 21:26:03,
1,1,3,1,0101,Co-ed,142.1,Semi-furnished,Single,1,,5345.00,"[""Electric_Fan"",""Water_Kettle"",""Refrigerator"",""Rice_Cooker"",""Utility_Subsidy"",""Induction_Cooker"",""Access_Pool""]",2026-05-07 21:25:48,2026-05-07 21:31:47,
