lease_id,tenant_id,bed_id,status,term,shift,auto_renew,start_date,end_date,contract_rate,advance_amount,security_deposit,move_in,move_out,created_at,updated_at,deleted_at,monthly_due_date,late_payment_penalty,short_term_premium,reservation_fee_paid,early_termination_fee,forwarding_address,reason_for_vacating,deposit_refund_method,deposit_refund_account,tenant_signature,tenant_signed_at,tenant_signed_ip,owner_signature,owner_signed_at,owner_signed_ip,signed_contract_path,contract_agreed,moveout_tenant_signature,moveout_tenant_signed_at,moveout_tenant_signed_ip,moveout_owner_signature,moveout_owner_signed_at,moveout_owner_signed_ip,moveout_contract_agreed,moveout_signed_contract_path,contract_status,deposit_refund_amount,deposit_deductions,move_out_initiated_at,moveout_contract_status,manager_signature,manager_signed_at,manager_signed_ip,moveout_manager_signature,moveout_manager_signed_at,moveout_manager_signed_ip,deposit_interest_amount,deposit_refund_deadline,deposit_refund_completed_at,deposit_refund_reference,termination_reason,approval_status,approved_by,approved_at,rejection_reason,forwarding_province_id,forwarding_city_id,forwarding_barangay_id,forwarding_street
11,8,71,Expired,3,Morning,t,2024-02-01,2024-05-01,7241.00,7241.00,7241.00,2024-02-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2024-01-31 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2024-01-31 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2024-01-31 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
12,8,71,Expired,6,Morning,t,2024-05-01,2024-11-01,7241.00,7241.00,7241.00,2024-05-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2024-04-25 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2024-04-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_1.svg,2024-04-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
13,8,71,Expired,3,Morning,t,2024-11-01,2025-02-01,7241.00,7241.00,7241.00,2024-11-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2024-10-27 00:00:00,127.0.0.1,signatures/seed_owner_5.svg,2024-10-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2024-10-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
14,8,71,Expired,6,Morning,t,2025-02-01,2025-08-01,7241.00,7241.00,7241.00,2025-02-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2025-01-27 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2025-01-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2025-01-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
15,8,71,Expired,3,Morning,t,2025-08-01,2025-11-01,7241.00,7241.00,7241.00,2025-08-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2025-07-25 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2025-07-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2025-07-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
16,8,71,Active,12,Morning,f,2025-11-01,2026-11-01,7241.00,7241.00,7241.00,2025-11-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2025-10-31 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2025-10-31 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2025-10-31 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
17,10,101,Expired,12,Morning,t,2023-03-01,2024-03-01,11042.00,11042.00,11042.00,2023-03-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2023-02-23 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2023-02-23 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2023-02-23 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
18,10,101,Expired,6,Morning,t,2024-03-01,2024-09-01,11042.00,11042.00,11042.00,2024-03-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_1.svg,2024-02-24 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2024-02-24 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2024-02-24 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
19,10,101,Expired,1,Morning,t,2024-09-01,2024-10-01,11042.00,11042.00,11042.00,2024-09-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2024-08-25 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2024-08-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2024-08-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
20,10,101,Expired,6,Morning,t,2024-10-01,2025-04-01,11042.00,11042.00,11042.00,2024-10-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2024-09-24 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2024-09-24 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2024-09-24 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
21,10,101,Expired,12,Morning,t,2025-04-01,2026-04-01,11042.00,11042.00,11042.00,2025-04-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2025-03-31 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2025-03-31 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_1.svg,2025-03-31 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
22,10,101,Expired,1,Morning,t,2026-04-01,2026-05-01,11042.00,11042.00,11042.00,2026-04-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2026-03-30 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2026-03-30 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2026-03-30 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
23,10,101,Active,1,Morning,f,2026-05-01,2026-06-01,11042.00,11042.00,11042.00,2026-05-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,,,,,,,,f,,,,,,,f,,draft,,,,draft,,,,,,,,,,,,approved,,,,,,,
24,12,79,Expired,1,Morning,t,2021-03-01,2021-04-01,12004.00,12004.00,12004.00,2021-03-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2021-02-22 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2021-02-22 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2021-02-22 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
25,12,79,Expired,1,Morning,t,2021-04-01,2021-05-01,12004.00,12004.00,12004.00,2021-04-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2021-03-30 00:00:00,127.0.0.1,signatures/seed_owner_5.svg,2021-03-30 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2021-03-30 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
26,12,79,Expired,1,Morning,t,2021-05-01,2021-06-01,12004.00,12004.00,12004.00,2021-05-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2021-04-28 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2021-04-28 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_1.svg,2021-04-28 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
27,12,79,Expired,1,Morning,t,2021-06-01,2021-07-01,12004.00,12004.00,12004.00,2021-06-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2021-05-29 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2021-05-29 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2021-05-29 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
28,12,79,Expired,6,Morning,t,2021-07-01,2022-01-01,12004.00,12004.00,12004.00,2021-07-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_1.svg,2021-06-28 00:00:00,127.0.0.1,signatures/seed_owner_5.svg,2021-06-28 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2021-06-28 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
29,12,79,Expired,6,Morning,t,2022-01-01,2022-07-01,12004.00,12004.00,12004.00,2022-01-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2021-12-25 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2021-12-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_1.svg,2021-12-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
30,12,79,Expired,3,Morning,t,2022-07-01,2022-10-01,12004.00,12004.00,12004.00,2022-07-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2022-06-25 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2022-06-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2022-06-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
31,12,79,Expired,12,Morning,t,2022-10-01,2023-10-01,12004.00,12004.00,12004.00,2022-10-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2022-09-29 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2022-09-29 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2022-09-29 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
32,12,79,Expired,6,Morning,t,2023-10-01,2024-04-01,12004.00,12004.00,12004.00,2023-10-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2023-09-27 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2023-09-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2023-09-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
33,12,79,Expired,3,Morning,t,2024-04-01,2024-07-01,12004.00,12004.00,12004.00,2024-04-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_1.svg,2024-03-25 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2024-03-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2024-03-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
34,12,79,Expired,6,Morning,t,2024-07-01,2025-01-01,12004.00,12004.00,12004.00,2024-07-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2024-06-29 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2024-06-29 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2024-06-29 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
35,12,79,Expired,12,Morning,t,2025-01-01,2026-01-01,12004.00,12004.00,12004.00,2025-01-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2024-12-27 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2024-12-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2024-12-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
36,12,79,Expired,3,Morning,t,2026-01-01,2026-04-01,12004.00,12004.00,12004.00,2026-01-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2025-12-25 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2025-12-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_1.svg,2025-12-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
37,12,79,Expired,1,Morning,t,2026-04-01,2026-05-01,12004.00,12004.00,12004.00,2026-04-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2026-03-28 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2026-03-28 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2026-03-28 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
38,12,79,Active,3,Morning,f,2026-05-01,2026-08-01,12004.00,12004.00,12004.00,2026-05-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2026-04-30 00:00:00,127.0.0.1,,,,,t,,,,,,,f,,pending_owner,,,,draft,,,,,,,,,,,,approved,,,,,,,
39,14,52,Expired,1,Morning,t,2025-01-01,2025-02-01,11347.00,11347.00,11347.00,2025-01-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2024-12-31 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2024-12-31 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2024-12-31 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
40,14,52,Expired,3,Morning,t,2025-02-01,2025-05-01,11347.00,11347.00,11347.00,2025-02-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2025-01-30 00:00:00,127.0.0.1,signatures/seed_owner_5.svg,2025-01-30 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2025-01-30 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
41,14,52,Expired,3,Morning,t,2025-05-01,2025-08-01,11347.00,11347.00,11347.00,2025-05-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2025-04-28 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2025-04-28 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2025-04-28 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
42,14,52,Active,12,Morning,f,2025-08-01,2026-08-01,11347.00,11347.00,11347.00,2025-08-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2025-07-27 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2025-07-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2025-07-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
43,16,2,Expired,12,Morning,t,2022-02-01,2023-02-01,10883.00,10883.00,10883.00,2022-02-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2022-01-26 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2022-01-26 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_1.svg,2022-01-26 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
44,16,2,Expired,3,Morning,t,2023-02-01,2023-05-01,10883.00,10883.00,10883.00,2023-02-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_1.svg,2023-01-31 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2023-01-31 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2023-01-31 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
45,16,2,Expired,1,Morning,t,2023-05-01,2023-06-01,10883.00,10883.00,10883.00,2023-05-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2023-04-27 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2023-04-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2023-04-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
46,16,2,Expired,3,Morning,t,2023-06-01,2023-09-01,10883.00,10883.00,10883.00,2023-06-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2023-05-27 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2023-05-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2023-05-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
47,16,2,Expired,3,Morning,t,2023-09-01,2023-12-01,10883.00,10883.00,10883.00,2023-09-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2023-08-26 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2023-08-26 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2023-08-26 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
48,16,2,Expired,6,Morning,t,2023-12-01,2024-06-01,10883.00,10883.00,10883.00,2023-12-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2023-11-27 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2023-11-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2023-11-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
49,16,2,Expired,1,Morning,t,2024-06-01,2024-07-01,10883.00,10883.00,10883.00,2024-06-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2024-05-27 00:00:00,127.0.0.1,signatures/seed_owner_5.svg,2024-05-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_5.svg,2024-05-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
50,16,2,Expired,12,Morning,t,2024-07-01,2025-07-01,10883.00,10883.00,10883.00,2024-07-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2024-06-25 00:00:00,127.0.0.1,signatures/seed_owner_5.svg,2024-06-25 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2024-06-25 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
51,16,2,Expired,3,Morning,t,2025-07-01,2025-10-01,10883.00,10883.00,10883.00,2025-07-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_1.svg,2025-06-29 00:00:00,127.0.0.1,signatures/seed_owner_5.svg,2025-06-29 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2025-06-29 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
52,16,2,Active,12,Morning,f,2025-10-01,2026-10-01,10883.00,10883.00,10883.00,2025-10-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,0.00,0.00,0.00,,,,,,,,,,,,f,,,,,,,f,,draft,,,,draft,,,,,,,,,,,,approved,,,,,,,
53,18,105,Expired,3,Morning,t,2023-07-01,2023-10-01,9336.00,9336.00,9336.00,2023-07-01,,2026-05-07 21:26:04,2026-05-07 21:26:04,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2023-06-24 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2023-06-24 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2023-06-24 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
