table,data_json
announcements,"{""announcement_id"": ""11"", ""author_id"": ""3"", ""property_id"": ""2"", ""headline"": ""Scheduled Maintenance Notice"", ""details"": ""Johnson, Hoeger and Lang Apartments: General maintenance will be conducted on all units on May 10, 2026. Expect temporary service interruptions."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-01-17 01:00:59"", ""updated_at"": ""2026-01-17 01:00:59"", ""deleted_at"": """", ""notification_date"": ""2026-01-17""}"
announcements,"{""announcement_id"": ""12"", ""author_id"": ""4"", ""property_id"": ""2"", ""headline"": ""Fire Drill Reminder"", ""details"": ""Johnson, Hoeger and Lang Apartments: Fire drill scheduled for Monday at 01:34. Follow safety instructions."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-04-17 05:10:59"", ""updated_at"": ""2026-04-17 05:10:59"", ""deleted_at"": """", ""notification_date"": ""2026-04-17""}"
announcements,"{""announcement_id"": ""13"", ""author_id"": ""4"", ""property_id"": ""1"", ""headline"": ""Welcome New Tenants"", ""details"": ""Christiansen-Harris Apartments: Welcome to our new tenants joining this month. Make them feel at home!"", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-03-14 18:49:27"", ""updated_at"": ""2026-03-14 18:49:27"", ""deleted_at"": """", ""notification_date"": ""2026-03-14""}"
announcements,"{""announcement_id"": ""14"", ""author_id"": ""4"", ""property_id"": ""1"", ""headline"": ""Scheduled Maintenance Notice"", ""details"": ""Christiansen-Harris Apartments: General maintenance will be conducted on all units on May 15, 2026. Expect temporary service interruptions."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-02-25 19:23:03"", ""updated_at"": ""2026-02-25 19:23:03"", ""deleted_at"": """", ""notification_date"": ""2026-02-25""}"
announcements,"{""announcement_id"": ""15"", ""author_id"": ""42"", ""property_id"": ""1"", ""headline"": ""Security Upgrade Announcement"", ""details"": ""Christiansen-Harris Apartments: Security upgrades on May 20, 2026. Minor access delays expected."", ""sender_role"": ""landlord"", ""recipient_role"": ""manager"", ""created_at"": ""2026-01-01 14:27:41"", ""updated_at"": ""2026-01-01 14:27:41"", ""deleted_at"": """", ""notification_date"": ""2026-01-01""}"
announcements,"{""announcement_id"": ""16"", ""author_id"": ""42"", ""property_id"": ""3"", ""headline"": ""Electrical System Upgrade"", ""details"": ""Tillman Inc Apartments: Electrical system upgrade on May 16, 2026. Expect brief power outages."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2025-12-14 08:18:01"", ""updated_at"": ""2025-12-14 08:18:01"", ""deleted_at"": """", ""notification_date"": ""2025-12-14""}"
announcements,"{""announcement_id"": ""17"", ""author_id"": ""42"", ""property_id"": ""3"", ""headline"": ""Welcome New Tenants"", ""details"": ""Tillman Inc Apartments: Welcome to our new tenants joining this month. Make them feel at home!"", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2025-12-14 14:43:30"", ""updated_at"": ""2025-12-14 14:43:30"", ""deleted_at"": """", ""notification_date"": ""2025-12-14""}"
announcements,"{""announcement_id"": ""18"", ""author_id"": ""43"", ""property_id"": ""3"", ""headline"": ""HVAC Inspection Notice"", ""details"": ""Tillman Inc Apartments: Routine HVAC inspection scheduled on May 26, 2026. Please ensure access to units."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-02-01 08:18:56"", ""updated_at"": ""2026-02-01 08:18:56"", ""deleted_at"": """", ""notification_date"": ""2026-02-01""}"
announcements,"{""announcement_id"": ""19"", ""author_id"": ""43"", ""property_id"": ""1"", ""headline"": ""Pool Area Cleaning"", ""details"": ""Christiansen-Harris Apartments: Pool maintenance is scheduled for Sunday. Please refrain from using the pool area during this time."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-03-05 06:30:05"", ""updated_at"": ""2026-03-05 06:30:05"", ""deleted_at"": """", ""notification_date"": ""2026-03-05""}"
announcements,"{""announcement_id"": ""20"", ""author_id"": ""43"", ""property_id"": ""1"", ""headline"": ""Tenant Meeting Reminder"", ""details"": ""Christiansen-Harris Apartments: Tenant meeting scheduled for May 14, 2026 at 19:54. Attendance recommended."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-04-26 16:15:20"", ""updated_at"": ""2026-04-26 16:15:20"", ""deleted_at"": """", ""notification_date"": ""2026-04-26""}"
announcements,"{""announcement_id"": ""21"", ""author_id"": ""44"", ""property_id"": ""3"", ""headline"": ""Fire Drill Reminder"", ""details"": ""Tillman Inc Apartments: Fire drill scheduled for Tuesday at 19:23. Follow safety instructions."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-03-01 08:48:07"", ""updated_at"": ""2026-03-01 08:48:07"", ""deleted_at"": """", ""notification_date"": ""2026-03-01""}"
announcements,"{""announcement_id"": ""22"", ""author_id"": ""44"", ""property_id"": ""2"", ""headline"": ""Community Event Announcement"", ""details"": ""Johnson, Hoeger and Lang Apartments: Community event on May 11, 2026 at the common hall. Fun activities planned!"", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-04-04 23:07:13"", ""updated_at"": ""2026-04-04 23:07:13"", ""deleted_at"": """", ""notification_date"": ""2026-04-04""}"
announcements,"{""announcement_id"": ""23"", ""author_id"": ""44"", ""property_id"": ""3"", ""headline"": ""HVAC Inspection Notice"", ""details"": ""Tillman Inc Apartments: Routine HVAC inspection scheduled on May 16, 2026. Please ensure access to units."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-01-15 11:36:10"", ""updated_at"": ""2026-01-15 11:36:10"", ""deleted_at"": """", ""notification_date"": ""2026-01-15""}"
barangays,"{""id"": ""1"", ""psgc_code"": ""012801001"", ""name"": ""Adams (Pob.)"", ""city_id"": ""1"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""2"", ""psgc_code"": ""012802001"", ""name"": ""Bani"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""3"", ""psgc_code"": ""012802002"", ""name"": ""Buyon"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""4"", ""psgc_code"": ""012802003"", ""name"": ""Cabaruan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""5"", ""psgc_code"": ""012802004"", ""name"": ""Cabulalaan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""6"", ""psgc_code"": ""012802005"", ""name"": ""Cabusligan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""7"", ""psgc_code"": ""012802006"", ""name"": ""Cadaratan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""8"", ""psgc_code"": ""012802007"", ""name"": ""Calioet-Libong"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""9"", ""psgc_code"": ""012802008"", ""name"": ""Casilian"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""10"", ""psgc_code"": ""012802009"", ""name"": ""Corocor"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""11"", ""psgc_code"": ""012802011"", ""name"": ""Duripes"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""12"", ""psgc_code"": ""012802012"", ""name"": ""Ganagan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""13"", ""psgc_code"": ""012802013"", ""name"": ""Libtong"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""14"", ""psgc_code"": ""012802014"", ""name"": ""Macupit"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""15"", ""psgc_code"": ""012802015"", ""name"": ""Nambaran"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""16"", ""psgc_code"": ""012802016"", ""name"": ""Natba"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""17"", ""psgc_code"": ""012802017"", ""name"": ""Paninaan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""18"", ""psgc_code"": ""012802018"", ""name"": ""Pasiocan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""19"", ""psgc_code"": ""012802019"", ""name"": ""Pasngal"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""20"", ""psgc_code"": ""012802020"", ""name"": ""Pipias"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""21"", ""psgc_code"": ""012802021"", ""name"": ""Pulangi"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""22"", ""psgc_code"": ""012802022"", ""name"": ""Pungto"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""23"", ""psgc_code"": ""012802024"", ""name"": ""San Agustin I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""24"", ""psgc_code"": ""012802025"", ""name"": ""San Agustin II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""25"", ""psgc_code"": ""012802027"", ""name"": ""San Andres I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""26"", ""psgc_code"": ""012802028"", ""name"": ""San Andres II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""27"", ""psgc_code"": ""012802030"", ""name"": ""San Gabriel I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""28"", ""psgc_code"": ""012802031"", ""name"": ""San Gabriel II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""29"", ""psgc_code"": ""012802033"", ""name"": ""San Pedro I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""30"", ""psgc_code"": ""012802034"", ""name"": ""San Pedro II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""31"", ""psgc_code"": ""012802036"", ""name"": ""San Roque I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""32"", ""psgc_code"": ""012802037"", ""name"": ""San Roque II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""33"", ""psgc_code"": ""012802039"", ""name"": ""San Simon I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""34"", ""psgc_code"": ""012802040"", ""name"": ""San Simon II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""35"", ""psgc_code"": ""012802041"", ""name"": ""San Vicente (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""36"", ""psgc_code"": ""012802042"", ""name"": ""Sangil"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""37"", ""psgc_code"": ""012802044"", ""name"": ""Santa Filomena I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""38"", ""psgc_code"": ""012802045"", ""name"": ""Santa Filomena II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""39"", ""psgc_code"": ""012802046"", ""name"": ""Santa Rita (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""40"", ""psgc_code"": ""012802047"", ""name"": ""Santo Cristo I (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""41"", ""psgc_code"": ""012802048"", ""name"": ""Santo Cristo II (Pob.)"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""42"", ""psgc_code"": ""012802050"", ""name"": ""Tambidao"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""43"", ""psgc_code"": ""012802051"", ""name"": ""Teppang"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""44"", ""psgc_code"": ""012802052"", ""name"": ""Tubburan"", ""city_id"": ""2"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""45"", ""psgc_code"": ""012803001"", ""name"": ""Alay-Nangbabaan"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""46"", ""psgc_code"": ""012803002"", ""name"": ""Alogoog"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""47"", ""psgc_code"": ""012803003"", ""name"": ""Ar-arusip"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""48"", ""psgc_code"": ""012803004"", ""name"": ""Aring"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""49"", ""psgc_code"": ""012803005"", ""name"": ""Balbaldez"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""50"", ""psgc_code"": ""012803006"", ""name"": ""Bato"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""51"", ""psgc_code"": ""012803007"", ""name"": ""Camanga"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""52"", ""psgc_code"": ""012803008"", ""name"": ""Canaan (Pob.)"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""53"", ""psgc_code"": ""012803009"", ""name"": ""Caraitan"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""54"", ""psgc_code"": ""012803011"", ""name"": ""Gabut Norte"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""55"", ""psgc_code"": ""012803012"", ""name"": ""Gabut Sur"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""56"", ""psgc_code"": ""012803013"", ""name"": ""Garreta (Pob.)"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""57"", ""psgc_code"": ""012803016"", ""name"": ""Labut"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""58"", ""psgc_code"": ""012803017"", ""name"": ""Lacuben"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""59"", ""psgc_code"": ""012803018"", ""name"": ""Lubigan"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""60"", ""psgc_code"": ""012803020"", ""name"": ""Mabusag Norte"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""61"", ""psgc_code"": ""012803021"", ""name"": ""Mabusag Sur"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""62"", ""psgc_code"": ""012803022"", ""name"": ""Madupayas"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""63"", ""psgc_code"": ""012803023"", ""name"": ""Morong"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""64"", ""psgc_code"": ""012803025"", ""name"": ""Nagrebcan"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""65"", ""psgc_code"": ""012803026"", ""name"": ""Napu"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""66"", ""psgc_code"": ""012803027"", ""name"": ""La Virgen Milagrosa"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""67"", ""psgc_code"": ""012803028"", ""name"": ""Pagsanahan Norte"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""68"", ""psgc_code"": ""012803029"", ""name"": ""Pagsanahan Sur"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""69"", ""psgc_code"": ""012803030"", ""name"": ""Paltit"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""70"", ""psgc_code"": ""012803031"", ""name"": ""Parang"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""71"", ""psgc_code"": ""012803032"", ""name"": ""Pasuc"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""72"", ""psgc_code"": ""012803034"", ""name"": ""Santa Cruz Norte"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""73"", ""psgc_code"": ""012803035"", ""name"": ""Santa Cruz Sur"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""74"", ""psgc_code"": ""012803036"", ""name"": ""Saud"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""75"", ""psgc_code"": ""012803037"", ""name"": ""Turod"", ""city_id"": ""3"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""76"", ""psgc_code"": ""012804001"", ""name"": ""Abaca"", ""city_id"": ""4"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""77"", ""psgc_code"": ""012804002"", ""name"": ""Bacsil"", ""city_id"": ""4"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""78"", ""psgc_code"": ""012804003"", ""name"": ""Banban"", ""city_id"": ""4"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""79"", ""psgc_code"": ""012804004"", ""name"": ""Baruyen"", ""city_id"": ""4"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""80"", ""psgc_code"": ""012804005"", ""name"": ""Dadaor"", ""city_id"": ""4"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
barangays,"{""id"": ""81"", ""psgc_code"": ""012804006"", ""name"": ""Lanao"", ""city_id"": ""4"", ""created_at"": ""2026-05-07 21:07:24"", ""updated_at"": ""2026-05-07 21:07:24""}"
